Bronze,Country,Gold,Rank,Silver,Total,year
1,Tunisia,0,26,1,2,1964
2,Iran,0,27,0,2,1964
0,Bahamas,1,28,0,1,1964
0,India,1,29,0,1,1964
0,Ethiopia,1,30,0,1,1964
0,Philippines,0,31,1,1,1964
0,Pakistan,0,32,1,1,1964
0,Cuba,0,33,1,1,1964
0,Argentina,0,34,1,1,1964
1,Mexico,0,35,0,1,1964
1,Uruguay,0,36,0,1,1964
1,Ireland,0,37,0,1,1964
1,Ghana,0,38,0,1,1964
1,Nigeria,0,39,0,1,1964
1,Brazil,0,40,0,1,1964
1,Kenya,0,41,0,1,1964
31,Soviet Union,43,1,29,103,1960
16,United States,34,2,21,71,1960
11,Germany,12,3,19,42,1960
13,Italy,13,4,10,36,1960
6,Australia,8,5,8,22,1960
7,Hungary,6,6,8,21,1960
11,Poland,4,7,6,21,1960
12,Great Britain,2,8,6,20,1960
7,Japan,4,9,7,18,1960
6,Romania,3,10,1,10,1960
0,Turkey,7,11,2,9,1960
3,Czechoslovakia,3,12,2,8,1960
3,Bulgaria,1,13,3,7,1960
1,Denmark,2,14,3,6,1960
3,Sweden,1,15,2,6,1960
3,Switzerland,0,16,3,6,1960
3,Finland,1,17,1,5,1960
3,France,0,18,2,5,1960
2,Belgium,0,19,2,4,1960
3,Iran,0,20,1,4,1960
1,New Zealand,2,21,0,3,1960
2,Netherlands,0,22,1,3,1960
2,South Africa,0,23,1,3,1960
0,Yugoslavia,1,24,1,2,1960
0,Austria,1,25,1,2,1960
1,Pakistan,1,26,0,2,1960
1,United Arab Republic,0,27,1,2,1960
1,Argentina,0,28,1,2,1960
2,Brazil,0,29,0,2,1960
2,West Indies Federation,0,30,0,2,1960
0,Norway,1,31,0,1,1960
0,Greece,1,32,0,1,1960
0,Ethiopia,1,33,0,1,1960
0,Portugal,0,34,1,1,1960
0,Ghana,0,35,1,1,1960
0,Singapore,0,36,1,1,1960
0,India,0,37,1,1,1960
0,Morocco,0,38,1,1,1960
0,Chinese Taipei,0,39,1,1,1960
0,Canada,0,40,1,1,1960
1,Iraq,0,41,0,1,1960
1,Spain,0,42,0,1,1960
1,Venezuela,0,43,0,1,1960
1,Mexico,0,44,0,1,1960
32,Soviet Union,37,1,29,98,1956
17,United States,32,2,25,74,1956
14,Australia,13,3,8,35,1956
7,Hungary,9,4,10,26,1956
8,Italy,8,5,6,22,1956
9,Great Britain,5,6,7,21,1956
6,Germany,4,7,10,20,1956
5,Japan,4,8,10,19,1956
6,Sweden,5,9,5,16,1956
11,Finland,3,10,1,15,1956
6,France,4,11,4,14,1956
5,Romania,5,12,3,13,1956
4,Poland,1,13,4,9,1956
2,Turkey,3,14,2,7,1956
1,Czechoslovakia,1,15,4,6,1956
1,Iran,2,16,2,5,1956
2,Canada,2,17,1,5,1956
1,Bulgaria,1,18,3,5,1956
3,Ireland,1,19,1,5,1956
2,Chile,0,20,2,4,1956
4,South Africa,0,21,0,4,1956
1,Denmark,1,22,1,3,1956
2,Norway,1,23,0,3,1956
0,Yugoslavia,0,24,3,3,1956
0,New Zealand,2,25,0,2,1956
1,Mexico,1,26,0,2,1956
0,Belgium,0,27,2,2,1956
1,Argentina,0,28,1,2,1956
1,South Korea,0,29,1,2,1956
2,Austria,0,30,0,2,1956
0,India,1,31,0,1,1956
0,Brazil,1,32,0,1,1956
0,Pakistan,0,33,1,1,1956
0,Iceland,0,34,1,1,1956
1,Bahamas,0,35,0,1,1956
1,Uruguay,0,36,0,1,1956
1,Greece,0,37,0,1,1956
17,United States,40,1,19,76,1952
19,Soviet Union,22,2,30,71,1952
16,Hungary,16,3,10,42,1952
10,Sweden,12,4,13,35,1952
17,Germany,0,5,7,24,1952
13,Finland,6,6,3,22,1952
4,Italy,8,7,9,21,1952
6,France,6,8,6,18,1952
6,Switzerland,2,9,6,14,1952
3,Czechoslovakia,7,10,3,13,1952
3,Australia,6,11,2,11,1952
8,Great Britain,1,12,2,11,1952
4,South Africa,2,13,4,10,1952
2,Japan,1,14,6,9,1952
4,Iran,0,15,3,7,1952
3,Denmark,2,16,1,6,1952
0,Norway,3,17,2,5,1952
0,Jamaica,2,18,3,5,1952
2,Argentina,1,19,2,5,1952
0,Netherlands,0,20,5,5,1952
0,Belgium,2,21,2,4,1952
1,Poland,1,22,2,4,1952
2,Romania,1,23,1,4,1952
1,Turkey,2,24,0,3,1952
0,Canada,1,25,2,3,1952
0,Yugoslavia,1,26,2,3,1952
2,Brazil,1,27,0,3,1952
2,New Zealand,1,28,0,3,1952
1,India,1,29,0,2,1952
0,Chile,0,30,2,2,1952
1,Austria,0,31,1,2,1952
1,Lebanon,0,32,1,2,1952
2,South Korea,0,33,0,2,1952
2,Trinidad and Tobago,0,34,0,2,1952
2,Uruguay,0,35,0,2,1952
0,Luxembourg,1,36,0,1,1952
0,Ireland,0,37,1,1,1952
0,Spain,0,38,1,1,1952
0,Mexico,0,39,1,1,1952
1,Portugal,0,40,0,1,1952
1,Bulgaria,0,41,0,1,1952
1,Venezuela,0,42,0,1,1952
1,Egypt,0,43,0,1,1952
19,United States,38,1,27,84,1948
18,Sweden,17,2,11,46,1948
15,France,11,3,6,32,1948
10,Italy,9,4,12,31,1948
13,Hungary,10,5,5,28,1948
7,Great Britain,4,6,16,27,1948
6,Finland,10,7,8,24,1948
6,Switzerland,5,8,12,23,1948
9,Denmark,5,9,8,22,1948
9,Netherlands,5,10,2,16,1948
5,Australia,2,11,6,13,1948
2,Turkey,6,12,4,12,1948
3,Czechoslovakia,6,13,2,11,1948
4,Austria,2,14,2,8,1948
1,Argentina,3,15,3,7,1948
3,Belgium,2,16,2,7,1948
3,Norway,1,17,3,7,1948
2,South Africa,2,18,2,6,1948
1,Egypt,2,19,2,5,1948
2,Mexico,2,20,1,5,1948
2,Canada,0,21,2,4,1948
0,Jamaica,1,22,2,3,1948
1,Poland,1,23,0,2,1948
0,Yugoslavia,0,24,2,2,1948
1,Portugal,0,25,1,2,1948
1,Uruguay,0,26,1,2,1948
2,South Korea,0,27,0,2,1948
2,Panama,0,28,0,2,1948
0,India,1,29,0,1,1948
0,Peru,1,30,0,1,1948
0,Cuba,0,31,1,1,1948
0,Trinidad and Tobago,0,32,1,1,1948
0,Sri Lanka,0,33,1,1,1948
0,Spain,0,34,1,1,1948
1,Puerto Rico,0,35,0,1,1948
1,Iran,0,36,0,1,1948
1,Brazil,0,37,0,1,1948
1,Ireland,0,38,0,1,1948
32,Germany,38,1,31,101,1936
12,United States,24,2,21,57,1936
5,Italy,9,3,13,27,1936
10,Sweden,6,4,5,21,1936
6,Finland,8,5,6,20,1936
10,Japan,6,6,4,20,1936
6,France,7,7,6,19,1936
5,Switzerland,4,8,9,18,1936
7,Netherlands,6,9,4,17,1936
5,Austria,5,10,7,17,1936
5,Hungary,10,11,1,16,1936
3,Great Britain,4,12,7,14,1936
1,Czechoslovakia,3,13,5,9,1936
5,Canada,1,14,3,9,1936
5,Poland,0,15,4,9,1936
3,Argentina,2,16,2,7,1936
3,Estonia,2,17,2,7,1936
2,Norway,1,18,3,6,1936
2,Egypt,2,19,1,5,1936
3,Denmark,0,20,2,5,1936
3,Mexico,0,21,0,3,1936
3,Belgium,0,22,0,3,1936
1,Turkey,1,23,0,2,1936
1,Latvia,0,24,1,2,1936
0,India,1,25,0,1,1936
0,New Zealand,1,26,0,1,1936
0,South Africa,0,27,1,1,1936
0,Romania,0,28,1,1,1936
0,Yugoslavia,0,29,1,1,1936
1,Philippines,0,30,0,1,1936
1,Australia,0,31,0,1,1936
1,Portugal,0,32,0,1,1936
30,United States,44,1,36,110,1932
12,Italy,12,2,12,36,1932
12,Finland,5,3,8,25,1932
9,Sweden,10,4,5,24,1932
7,Germany,5,5,12,24,1932
4,France,11,6,5,20,1932
4,Japan,7,7,7,18,1932
5,Great Britain,5,8,7,17,1932
5,Hungary,6,9,5,16,1932
9,Canada,2,10,5,16,1932
4,Poland,3,11,2,9,1932
1,Netherlands,2,12,5,8,1932
3,Denmark,0,13,5,8,1932
2,Czechoslovakia,1,14,3,6,1932
1,Australia,3,15,1,5,1932
3,South Africa,2,16,0,5,1932
3,Austria,1,17,1,5,1932
0,Argentina,3,18,1,4,1932
3,Philippines,0,19,0,3,1932
0,Ireland,2,20,0,2,1932
0,Mexico,0,21,2,2,1932
0,India,1,22,0,1,1932
0,Latvia,0,23,1,1,1932
0,New Zealand,0,24,1,1,1932
0,Switzerland,0,25,1,1,1932
1,Spain,0,26,0,1,1932
1,Uruguay,0,27,0,1,1932
1,Belgium,0,28,0,1,1932
16,United States,22,1,18,56,1928
19,Germany,11,2,9,39,1928
9,Finland,8,3,8,25,1928
6,France,7,4,12,25,1928
12,Sweden,7,5,6,25,1928
5,Netherlands,8,6,10,23,1928
7,Great Britain,4,7,11,22,1928
7,Italy,7,8,6,20,1928
4,Switzerland,7,9,6,17,1928
7,Canada,4,10,4,15,1928
0,Hungary,5,11,5,10,1928
4,Denmark,3,12,2,9,1928
2,Czechoslovakia,2,13,5,9,1928
1,Argentina,3,14,3,7,1928
4,Poland,2,15,1,7,1928
1,Japan,2,16,2,5,1928
2,Estonia,2,17,1,5,1928
3,Yugoslavia,1,18,1,5,1928
1,Austria,3,19,0,4,1928
1,Egypt,2,20,1,4,1928
1,Australia,1,21,2,4,1928
1,Norway,1,22,2,4,1928
2,South Africa,1,23,0,3,1928
2,Belgium,0,24,1,3,1928
0,New Zealand,1,25,0,1,1928
0,Uruguay,1,26,0,1,1928
0,India,1,27,0,1,1928
0,Ireland,1,28,0,1,1928
0,Spain,1,29,0,1,1928
0,Luxembourg,1,30,0,1,1928
0,Chile,0,31,1,1,1928
0,Haiti,0,32,1,1,1928
1,Philippines,0,33,0,1,1928
1,Portugal,0,34,0,1,1928
27,United States,45,1,27,99,1924
12,France,14,2,15,41,1924
10,Finland,14,3,13,37,1924
12,Great Britain,9,4,14,35,1924
12,Sweden,4,5,13,29,1924
10,Switzerland,7,6,8,25,1924
5,Italy,8,7,3,16,1924
3,Belgium,3,8,7,13,1924
6,Netherlands,4,9,1,11,1924
3,Denmark,2,10,6,11,1924
3,Norway,5,11,2,10,1924
4,Hungary,2,12,4,10,1924
5,Czechoslovakia,1,13,4,10,1924
2,Australia,3,14,1,6,1924
2,Argentina,1,15,3,6,1924
4,Estonia,1,16,1,6,1924
1,Canada,0,17,3,4,1924
1,Austria,0,18,3,4,1924
1,South Africa,1,19,1,3,1924
0,Yugoslavia,2,20,0,2,1924
0,Luxembourg,1,21,1,2,1924
1,Poland,0,22,1,2,1924
1,Ireland,0,23,1,2,1924
0,Uruguay,1,24,0,1,1924
0,Greece,1,25,0,1,1924
1,Romania,0,26,0,1,1924
1,New Zealand,0,27,0,1,1924
1,Haiti,0,28,0,1,1924
1,Portugal,0,29,0,1,1924
1,Japan,0,30,0,1,1924
1,Monaco,0,31,0,1,1924
27,United States,41,1,27,95,1920
25,Sweden,19,2,20,64,1920
13,Great Britain,14,3,16,43,1920
14,Belgium,16,4,12,42,1920
13,France,9,5,20,42,1920
9,Finland,15,6,10,34,1920
9,Norway,13,7,10,32,1920
5,Italy,14,8,6,25,1920
1,Denmark,3,9,9,13,1920
5,Netherlands,4,10,2,11,1920
7,Switzerland,2,11,2,11,1920
3,South Africa,3,12,4,10,1920
3,Canada,3,13,3,9,1920
0,Estonia,1,14,2,3,1920
1,Brazil,1,15,1,3,1920
1,Australia,0,16,2,3,1920
0,Spain,0,17,2,2,1920
0,Japan,0,18,2,2,1920
2,Czechoslovakia,0,19,0,2,1920
0,Luxembourg,0,20,1,1,1920
0,Greece,0,21,1,1,1920
1,New Zealand,0,22,0,1,1920
17,Sweden,24,1,24,65,1912
19,United States,26,2,19,64,1912
16,Great Britain,10,3,15,41,1912
9,Finland,9,4,8,26,1912
7,Germany,6,5,13,26,1912
3,France,7,6,5,15,1912
5,Denmark,1,7,6,12,1912
5,Norway,4,8,1,10,1912
2,Italy,5,9,1,8,1912
3,Canada,3,10,2,8,1912
3,Hungary,3,11,2,8,1912
3,Australasia,2,12,2,7,1912
0,South Africa,4,13,2,6,1912
3,Belgium,2,14,1,6,1912
3,Russia,0,15,2,5,1912
2,Austria,0,16,2,4,1912
3,Netherlands,0,17,0,3,1912
1,Greece,1,18,0,2,1912
0,Switzerland,1,19,0,1,1912
39,Great Britain,56,1,51,146,1908
12,United States,23,2,12,47,1908
11,Sweden,8,3,6,25,1908
9,France,5,4,5,19,1908
10,Canada,3,5,3,16,1908
5,Germany,3,6,5,13,1908
2,Hungary,3,7,4,9,1908
3,Norway,2,8,3,8,1908
2,Belgium,1,9,5,8,1908
2,Australasia,1,10,2,5,1908
3,Finland,1,11,1,5,1908
3,Denmark,0,12,2,5,1908
0,Italy,2,13,2,4,1908
1,Greece,0,14,3,4,1908
0,Russia,1,15,2,3,1908
0,South Africa,1,16,1,2,1908
2,Netherlands,0,17,0,2,1908
2,Bohemia,0,18,0,2,1908
1,Austria,0,19,0,1,1908
16,France,15,1,9,40,1906
13,Greece,8,2,13,34,1906
6,United States,12,3,6,24,1906
5,Great Britain,8,4,11,24,1906
3,Italy,7,5,6,16,1906
5,Germany,4,6,6,15,1906
7,Sweden,2,7,5,14,1906
3,Hungary,2,8,5,10,1906
3,Austria,3,9,3,9,1906
1,Switzerland,4,10,3,8,1906
1,Denmark,3,11,2,6,1906
3,Belgium,2,12,1,6,1906
1,Finland,2,13,1,4,1906
2,Netherlands,0,14,1,3,1906
3,Australia,0,15,0,3,1906
0,Canada,1,16,1,2,1906
0,Norway,1,17,1,2,1906
0,Mixed team,0,18,2,2,1906
2,Bohemia,0,19,0,2,1906
77,United States,76,1,78,231,1904
6,Germany,4,2,5,15,1904
1,Canada,4,3,1,6,1904
1,Hungary,2,4,1,4,1904
1,Mixed team,2,5,1,4,1904
1,Australia,0,6,3,4,1904
0,Cuba,3,7,0,3,1904
1,Austria,1,8,1,3,1904
2,Switzerland,1,9,0,3,1904
0,Norway,2,10,0,2,1904
0,Great Britain,1,11,1,2,1904
1,Greece,1,12,0,2,1904
0,France,0,13,1,1,1904
37,France,27,1,38,102,1900
15,United States,19,2,14,48,1900
9,Great Britain,15,3,8,32,1900
6,Mixed team,8,4,5,19,1900
4,Belgium,6,5,7,17,1900
1,Switzerland,6,6,2,9,1900
2,Germany,4,7,3,9,1900
2,Denmark,1,8,3,6,1900
3,Austria,0,9,3,6,1900
0,Italy,3,10,2,5,1900
3,Australia,2,11,0,5,1900
2,Hungary,1,12,2,5,1900
3,Netherlands,0,13,2,5,1900
3,Norway,0,14,2,5,1900
0,Cuba,1,15,1,2,1900
1,Canada,1,16,0,2,1900
0,India,0,17,2,2,1900
1,Bohemia,0,18,1,2,1900
0,Spain,1,19,0,1,1900
0,Luxembourg,1,20,0,1,1900
1,Sweden,0,21,0,1,1900
19,Greece,10,1,18,47,1896
2,United States,11,2,7,20,1896
2,Germany,6,3,5,13,1896
2,France,5,4,4,11,1896
2,Great Britain,2,5,3,7,1896
3,Hungary,2,6,1,6,1896
3,Denmark,1,7,2,6,1896
2,Austria,2,8,1,5,1896
0,Switzerland,1,9,2,3,1896
0,Australia,2,10,0,2,1896
1,Mixed team,1,11,0,2,1896
