category,target,people,title,shares,current,location,date
  Memorials, of $10k goal,104,Isabelle Terry Memorial Fund, 568,"5,220","
                        ,  MINNEAPOLIS, MN                    ","Created August 15, 2016"
  Charity," of $1,000 goal",12,"First All Women Single Fly Team, Ut", 120,710,"
                        ,  SALT LAKE CITY, UT                    ","Created August 13, 2016"
  Charity, of $10k goal,11,CASA Rainy Days Fund, 58,370,"
                        ,  FINDLAY, OH                    ","Created August 17, 2016"
  Charity," of $3,000 goal",10,Catastrophic flood help, 53,825,"
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Charity, of $30k goal,10,Help Find Cures, 219,550,"
                        ,  CLIVE, IA                    ","Created August 17, 2016"
,,,Back to School Event,,,,
  Charity," of $1,500 goal",17, Autism Society Central Virginia , 111,610,"
                        ,  GLEN ALLEN, VA                    ","Created July 28, 2016"
  Charity, of $10k goal,11,Baton Rouge Flood Relief Aug 2016, 77,830,"
                        ,  AUSTIN, TX                    ","Created August 17, 2016"
  Charity, of $75k goal,15,The Albany Backpack Program, 115,"1,674","
                        ,  ALBANY, NY                    ","Created July 8, 2016"
  Animals," of $5,609 goal",34,Coincidence Or Puppy Mill Victim?  , 75,"2,580","
                        ,  MUNDELEIN, IL                    ","Created August 2, 2016"
  Charity," of $2,500 goal",12,Sprint for Kids, 29,"1,455","
                        ,  SANTA BARBARA, CA                    ","Created August 15, 2016"
  Animals, of $10k goal,43,Funds Fur Frank, 60,"3,795","
                        ,  NORTH DARTMOUTH, MA                    ","Created August 14, 2016"
  Animals," of $6,000 goal",25,Help Save Bart, 78,"1,845","
                        ,  OLD BRIDGE, NJ                    ","Created August 15, 2016"
  Animals," of $3,000 goal",27,Medical Fund for Spotz, 178,"1,560","
                        ,  SHIRLEY, NY                    ","Created August 16, 2016"
  Animals," of $2,500 goal",27,Save Our Rose, 67,725,"
                        ,  SALEM, SC                    ","Created August 15, 2016"
  Animals," of $1,600 goal",30,Lottie's ER flights and treatment, 98,"1,335","
                        ,  BETHEL, AK                    ","Created August 14, 2016"
  Animals," of $3,000 goal",34,Help Q get his back surgery!, 32,"1,380","
                        ,  SPOKANE, WA                    ","Created August 12, 2016"
  Animals, of $20k goal,463,Help the Gallagher's, 712,"20,853","
                        ,  LAKE VILLA, IL                    ","Created August 12, 2016"
  Volunteer," of $5,000 goal",11,Salish Sea heads to Standing Rock, 258,888,"
                        ,  BAINBRIDGE ISLAND, WA                    ","Created August 12, 2016"
  Animals," of €5,000 goal",98,Worldfirst 20marathons 10days 4 LAW, 433,"2,970","
                        ,  Limerick City, Limerick Ireland                    ","Created August 3, 2016"
  Volunteer," of $1,000 goal",12,Good Deeds For Those In Need, 70,538,"
                        ,  Etobicoke, ON                    ","Created August 2, 2016"
  Volunteer," of $5,000 goal",6,Relief Trip for Louisiana Families, 77,550,"
                        ,  MILWAUKEE, WI                    ","Created August 16, 2016"
  Volunteer," of $4,000 goal",47,St John Ambulance Granville, 280,"4,083","
                        ,  Cranebrook, NSW                    ","Created July 17, 2016"
,,,Emma Libby & Lucy Mud Run for Mind,,,,
  Volunteer," of $7,500 goal",17,Put a roof over Nicaraguan Orphans, 156,855,"
                        ,  STERLING, VA                    ","Created August 8, 2016"
  Sports, of $15k goal,115,Funding My Hopes in Rio, 1.8K,"8,535","
                        ,  REDDICK, FL                    ","Created July 13, 2016"
  Sports," of $3,500 goal",14,Charlie's Worlds Fund for Italy!, 211,940,"
                        ,  PORTLAND, OR                    ","Created August 3, 2016"
,,,Branch for Commissioner District 1,,,,
  Volunteer," of $8,000 goal",11,Inspire To Do for Rio Paralympics , 45,500,"
                        ,  SAN FRANCISCO, CA                    ","Created August 7, 2016"
  Sports," of $5,000 goal",19,Baseball Locker  Room - Sr. Project, 119,"2,446","
                        ,  CATAULA, GA                    ","Created August 12, 2016"
  Sports, of $18.8k goal,65,USEF's Meg Sleeper Rides in Samorin, 1.0K,"8,265","
                        ,  FRENCHTOWN, NJ                    ","Created August 3, 2016"
,,,Baseball for Julien ,,,,
  Education," of $1,250 goal",16,Send Ian to college, 27,"1,250","
                        ,  WASHINGTON, DC                    ","Created August 16, 2016"
  Sports," of $8,000 goal",28,"World Taekwondo Championship, Peru", 28,"3,930","
                        ,  Newington, NSW                    ","Created August 5, 2016"
,,,Standing Classroom Desks ,,,,
  Education, of $17.5k goal,16,Ben's Senior Year Fund , 85,"1,968","
                        ,  ITHACA, NY                    ","Created August 15, 2016"
,,,IE Ducks 12U Jr Midget Team Fund,,,,
  Education," of $2,314 goal",35,Funding for my UNLV education, 363,"1,300","
                        ,  NORTH LAS VEGAS, NV                    ","Created August 10, 2016"
  Education," of $3,000 goal",19,Help us Time is running out , 52,860,"
                        ,  WHITTIER, CA                    ","Created August 17, 2016"
  Education," of $1,020 goal",27,Mindful Classrooms Project, 463,"1,420","
                        ,  GRAND RAPIDS, MI                    ","Created August 9, 2016"
  Education," of $2,000 goal",15,Empower McCormack Readers , 52,980,"
                        ,  BOSTON, MA                    ","Created August 15, 2016"
  Education," of $8,500 goal",17,MCS 5th Grade Camping Trip!, 57,890,"
                        ,  OAKLAND, CA                    ","Created August 11, 2016"
  Education, of $10k goal,31,Tom Olsen Family College Fund, 47,"8,600","
                        ,  PARK CITY, UT                    ","Created August 11, 2016"
  Charity," of $3,000 goal",13,United Saints LA. Flood Relief Fund, 194,"1,050","
                        ,  NEW ORLEANS, LA                    ","Created August 16, 2016"
,,,Getting Veterans off Tobacco!,,,,
  Education, of $13.7k goal,19,HELP KYMARE FINISH GRAD SCHOOL, 84,"1,864","
                        ,  BROOKLYN, NY                    ","Created August 14, 2016"
,,,Help Feet on the Earth Thrive!,,,,
  Charity, of $10k goal,13,First Priority Campus Clubs, 69,964,"
                        ,  CLAYTON, NC                    ","Created August 16, 2016"
  Charity, of $30k goal,15,Om Space, 36,885,"
                        ,  BALTIMORE, MD                    ","Created July 18, 2016"
  Charity," of $5,000 goal",30,Help Create Non Profit 4 Kids, 283,"1,510","
                        ,  MESA, AZ                    ","Created August 8, 2016"
  Charity," of £5,000 goal",26,Osaka Marathon for Jina!, 81,"6,105","
                        ,  1070052                    ","Created August 11, 2016"
  Charity," of $1,000 goal",24,Charlie's House, 164,"1,225","
                        ,  LINCOLN, NE                    ","Created August 14, 2016"
  Charity, of $75k goal,174,Restore the Rights of Women/Girls, 2.2K,"13,240","
                        ,  ALBUQUERQUE, NM                    ","Created July 25, 2016"
  Emergencies, of $10k goal,66,Baton Rouge Flood Relief, 159,"7,975","
                        ,  MOBILE, AL                    ","Created August 15, 2016"
  Emergencies," of $5,000 goal",66,Wroten Family Flood Help, 105,"12,700","
                        ,  KANSAS CITY, MO                    ","Created August 16, 2016"
  Emergencies, of $10k goal,67,Earl's Recovery, 631,"4,725","
                        ,  MARYSVILLE, CA                    ","Created August 17, 2016"
  Emergencies," of $8,000 goal",67,Family lost everything in mtn fire, 965,"3,910","
                        ,  FONTANA, CA                    ","Created August 16, 2016"
  Emergencies," of $8,000 goal",148,Flooded in South Louisiana, 757,"8,000","
                        ,  BATON ROUGE, LA                    ","Created August 13, 2016"
  Emergencies, of $12k goal,69,Burning Van - help Glenn get going, 258,"3,670","
                        ,  VASHON, WA                    ","Created August 15, 2016"
  Emergencies, of $20k goal,69,Sylvest Flood Recovery Fund, 189,"10,520","
                        ,  SAN DIEGO, CA                    ","Created August 14, 2016"
  Emergencies," of $1,200 goal",72,Baton Rouge Floods, 180,"1,322","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Animals," of $5,000 goal",36,Col. Potter Cairn Terrier Grilly, 61,"2,115","
                        ,  SUWANEE, GA                    ","Created August 13, 2016"
  Emergencies, of $25k goal,108,Jodi and Vinnie Ruiz , 356,"12,915","
                        ,  CUMMING, GA                    ","Created August 14, 2016"
  Animals," of $3,000 goal",29,Team Moose Pie, 332,"1,850","
                        ,  CAMBRIDGE SPRINGS, PA                    ","Created August 14, 2016"
  Animals," of $2,500 goal",30,Help Save Doggie Young's Leg! , 74,"1,191","
                        ,  Coconut Creek, FL                    ","Created August 15, 2016"
  Animals," of $1,000 goal",30,Macaroon's crash (Veterinary bills), 166,"1,280","
                        ,  PHILADELPHIA, PA                    ","Created August 15, 2016"
  Animals, of $10k goal,31,Support Brandys vet bills, 128,"2,345","
                        ,  ROCKAWAY, NJ                    ","Created August 17, 2016"
  Animals," of $1,265 goal",35,Coco's ER Overnight, 105,"1,375","
                        ,  OAKLAND, CA                    ","Created August 16, 2016"
  Medical, of $20k goal,96,Sweet Sophia's CancerTreatment Fund, 406,"14,581","
                        ,  Abbotsford, BC                    ","Created August 15, 2016"
  Animals," of $5,000 goal",39,Sadie Mae Lymphoma Fund, 108,"1,675","
                        ,  PACIFIC PALISADES, CA                    ","Created August 14, 2016"
  Emergencies, of $10k goal,77,Jasmond's flooded home , 184,"5,650","
                        ,  GILBERT, AZ                    ","Created August 15, 2016"
  Animals," of $7,500 goal",41,Tucker's Autism Service Dog, 162,"3,560","
                        ,  GREENVILLE, SC                    ","Created August 14, 2016"
  Animals," of $5,000 goal",59,Nelly Lou's Second Chance, 889,"1,805","
                        ,  HAWTHORNE, NJ                    ","Created August 13, 2016"
  Medical, of $10k goal,100,Let's Get Colleen A Car!, 312,"8,628","
                        ,  CARLISLE, MA                    ","Created August 16, 2016"
  Medical, of $25k goal,99,Please Support Geordan Mitchell, 941,"5,368","
                        ,  CALEDONIA, NY                    ","Created August 15, 2016"
  Animals," of $6,000 goal",40,"Please help me heal my heart, Rocco", 282,"1,132","
                        ,  HURLEYVILLE, NY                    ","Created August 14, 2016"
  Medical, of $20k goal,100,Sean Hankins' Medical Expenses, 684,"4,635","
                        ,  TAMPA, FL                    ","Created August 16, 2016"
  Medical, of $20k goal,103,Nathan's Story, 1.0K,"8,670","
                        ,  Hamilton, ON                    ","Created August 16, 2016"
  Medical," of $9,300 goal",105,Dominic's Medical Fund, 311,"10,442","
                        ,  CONVERSE, TX                    ","Created August 14, 2016"
  Medical, of $1 goal,161,Help Papa Brendal & Family, 433,"15,652","
                        ,  FAIRFIELD, IL                    ","Created August 14, 2016"
  Medical, of $15k goal,153,Nolan's Helpers #NolanStrong, 967,"9,713","
                        ,  BOSTON, MA                    ","Created August 14, 2016"
  Medical, of $100k goal,114,Please Support Nick's Fight, 234,"7,969","
                        ,  STATEN ISLAND, NY                    ","Created August 16, 2016"
  Emergencies, of $1.0M goal,79,Life after the flood donate to help, 479,"2,125","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Emergencies, of $10k goal,114,Marietta Louisiana Flood Relief, 433,"7,480","
                        ,  BATON ROUGE, LA                    ","Created August 14, 2016"
  Emergencies," of $5,000 goal",101,Jenna & Makkenzie Family Support, 626,"25,260","
                        ,  Foresters Falls, ON                    ","Created August 14, 2016"
  Emergencies, of $10k goal,87,Brendan and Kristen Okeefe Support, 381,"7,030","
                        ,  BUZZARDS BAY, MA                    ","Created August 16, 2016"
  Emergencies, of $10k goal,98,Mallory's Journey, 2.4K,"8,913","
                        ,  MONTGOMERY, AL                    ","Created August 15, 2016"
  Emergencies," of $8,000 goal",98,Love for 4.5year old Alexys, 1.1K,"7,300","
                        ,  Rd, ON                    ","Created August 15, 2016"
  Emergencies, of $35k goal,110,Babineauxs Flood Fund, 319,"15,520","
                        ,  LAFAYETTE, LA                    ","Created August 12, 2016"
  Emergencies," of $4,000 goal",102,Help Find Andrew, 679,"7,065","
                        ,  Neils Harbour, NS                    ","Created August 15, 2016"
  Education," of $6,000 goal",101,Matthew Heffernan Scholarship fund, 600,"4,905","
                        ,  BROADVIEW HEIGHTS, OH                    ","Created July 27, 2016"
  Emergencies, of $50k goal,102,Casaroti Flood Relief-Louisiana , 965,"9,265","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Education," of $1,100 goal",18,Birthing Justice: Becoming A Doula!, 205,705,"
                        ,  SAINT LOUIS, MO                    ","Created August 14, 2016"
  Education," of $2,000 goal",42,Send Tiffany to the Conferences!, 130,"2,033","
                        ,  SHELBURNE FALLS, MA                    ","Created August 8, 2016"
  Education, of $10k goal,32,Top Canadian Junior Athlete , 215,"2,756","
                        ,  Orangeville South, ON                    ","Created August 13, 2016"
  Education," of $3,000 goal",19,Brandon's College Fund, 39,"1,070","
                        ,  CHAPEL HILL, NC                    ","Created August 15, 2016"
  Education," of $5,000 goal",38,Help Us Pay Our Tuition, 293,"2,980","
                        ,  BROOKLYN, NY                    ","Created August 10, 2016"
  Education," of $9,000 goal",50,Support For The Richardson Family, 175,"3,485","
                        ,  Amaroo, ACT                    ","Created August 11, 2016"
  Sports," of $3,000 goal",18,South San Francisco 9U travel team, 103,"1,820","
                        ,  SOUTH SAN FRANCISCO, CA                    ","Created August 13, 2016"
  Sports," of $3,000 goal",13,"Help Send Mali to Barcelona, Spain", 110,545,"
                        ,  BALLWIN, MO                    ","Created August 15, 2016"
  Memorials, of $22.8k goal,116,Fund For Araylon And Kayiana Thomas, 1.3K,"3,844","
                        ,  HOUSTON, TX                    ","Created August 14, 2016"
  Sports," of $3,000 goal",68,Send Raul to Rio, 178,"1,986","
                        ,  PITTSBURGH, PA                    ","Created August 11, 2016"
  Memorials, of $30k goal,164,In Honor of Vanessa Marcotte, 937,"13,452","
                        ,  PRINCETON, MA                    ","Created August 11, 2016"
  Memorials, of $30k goal,587,Justice for Colten , 5.4K,"25,280","
                        ,  Cando, SK                    ","Created August 12, 2016"
  Memorials, of $15k goal,111,Brian Manring Memorial Fund, 539,"15,200","
                        ,  KATY, TX                    ","Created August 16, 2016"
  Memorials, of $30k goal,108,Thomas Lane Fund, 684,"8,396","
                        ,  NAPLES, FL                    ","Created August 16, 2016"
  Memorials," of $8,000 goal",124,Craig Fletcher Cooks Family Support, 540,"6,500","
                        ,  BERKELEY, CA                    ","Created August 16, 2016"
  Memorials, of $20k goal,142,Lampshire Memorial Fund, 1.2K,"19,600","
                        ,  SANDY, UT                    ","Created August 14, 2016"
  Memorials, of $50k goal,637,Support the Fisher family, 3.8K,"35,700","
                        ,  COLUMBUS, OH                    ","Created August 12, 2016"
  Memorials, of $10k goal,118,Chelle Lucas Memorial, 633,"7,450","
                        ,  MINERVA, OH                    ","Created August 15, 2016"
  Memorials, of $20k goal,115,Nick Naillon's Funeral Expenses , 1.1K,"10,845","
                        ,  SAN ANTONIO, TX                    ","Created August 16, 2016"
  Emergencies, of $20k goal,58,Cates Family Flood Recovery, 294,"9,785","
                        ,  SPRING HILL, TN                    ","Created August 16, 2016"
,,,School Supply Drive for Popham!,,,,
  Emergencies, of $12k goal,58,Adams Family Flood Relief, 161,"7,740","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Emergencies, of $10k goal,59,Lauren & Stephen - Flood Relief, 180,"3,710","
                        ,  DENHAM SPRINGS, LA                    ","Created August 15, 2016"
  Emergencies," of $6,500 goal",61,Flood Disaster Home Fund, 269,"4,596","
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Emergencies, of $10k goal,61,Help Out Tom and Lisa, 605,"4,373","
                        ,  SAN JOSE, CA                    ","Created August 14, 2016"
,,,BOT 2 BOT cycle challenge,,,,
,,,Yoga for Under-served Teens,,,,
  Volunteer, of $500 goal,5,Noah's Eagle Scout Project, 45,150,"
                        ,  STEVENSVILLE, MD                    ","Created August 14, 2016"
  Volunteer," of $2,500 goal",19,My Volunteer Trip To Trelawny! , 89,815,"
                        ,  LOS ANGELES, CA                    ","Created August 4, 2016"
  Volunteer," of $3,000 goal",5,Medical Mission Trip to Peru, 78,185,"
                        ,  6060                    ","Created August 17, 2016"
  Sports," of $3,000 goal",20,Jordin's USA Netball Trip, 83,"1,110","
                        ,  Cronulla, NSW                    ","Created August 10, 2016"
  Sports," of $5,000 goal",19,Help Alex & Katelyn Go To Worlds!!!, 356,820,"
                        ,  TAUNTON, MA                    ","Created August 6, 2016"
  Education," of $1,500 goal",21,Ms. Stokes 2nd Grade Class, 94,860,"
                        ,  KEY WEST, FL                    ","Created August 11, 2016"
  Medical, of $10k goal,98,Let's help Murph! , 870,"5,000","
                        ,  NARRAGANSETT, RI                    ","Created August 14, 2016"
  Medical, of $60k goal,503,Help Lexi Beat Ovarian Cancer, 3.3K,"43,694","
                        ,  LAKE CHARLES, LA                    ","Created July 22, 2016"
  Education," of $1,600 goal",14,English For Better Life In Vietnam, 75,340,"
                        ,  Glebe, NSW                    ","Created August 4, 2016"
  Medical, of $10k goal,89,Sydney Taylor's recovery fund , 777,"5,390","
                        ,  MELBOURNE, FL                    ","Created August 14, 2016"
  Medical," of $7,500 goal",88,Nicks Network, 569,"6,510","
                        ,  COLUMBIA, SC                    ","Created August 14, 2016"
  Medical," of $6,000 goal",84,Help a bookseller/ officiant, 439,"3,326","
                        ,  LEONARDTOWN, MD                    ","Created August 15, 2016"
,,,Disabled Veteran needs Service Dog,,,,
  Sports," of $2,500 goal",6,Start Pro Career in Australia, 71,260,"
                        ,  MANSFIELD, TX                    ","Created August 16, 2016"
  Medical, of $10k goal,87,Morgan's Road to Recovery, 933,"5,135","
                        ,  MOUNT HOREB, WI                    ","Created August 15, 2016"
  Medical, of $50k goal,417,Demonte Bell's Medical Fund , 1.9K,"28,228","
                        ,  LOS ANGELES, CA                    ","Created August 11, 2016"
  Medical, of $15k goal,86,Diane Freeman's Fund, 457,"7,350","
                        ,  GAINESVILLE, GA                    ","Created August 16, 2016"
  Medical, of $10k goal,74,Henry's Recovery Fund, 831,"2,830","
                        ,  TRENTON, NJ                    ","Created August 16, 2016"
  Medical, of $50k goal,204,Urgent Heart Surgery, 887,"18,695","
                        ,  BROOKLYN, NY                    ","Created August 8, 2016"
  Volunteer, of $540 goal,27,Get Amber to GeekGirlCon!, 152,540,"
                        ,  CHARLOTTESVILLE, VA                    ","Created August 11, 2016"
  Medical, of $20k goal,102,Hebert's Flood & Medical Fund, 316,"18,285","
                        ,  HOUMA, LA                    ","Created August 14, 2016"
  Medical, of $100k goal,363,Tim Hoffman - AMR Paramedic, 3.5K,"38,598","
                        ,  ZEELAND, MI                    ","Created August 9, 2016"
  Medical, of £24k goal,78,Help 5 year old Ellie, 506,"1,320","
                        ,  Bishopsgarth and Elm Tree Ward, ENG                    ","Created August 16, 2016"
  Medical, of $50k goal,77,We Save Max, 303,"2,776","
                        ,  TAMPA, FL                    ","Created August 14, 2016"
  Medical," of $7,500 goal",74,Oriana's Medical Fund, 180,"6,510","
                        ,  FAIRVIEW, NJ                    ","Created August 16, 2016"
  Medical, of $10k goal,78,Paramedic Mike Forget recovery, 420,"4,845","
                        ,  NASHUA, NH                    ","Created August 15, 2016"
  Medical, of $10k goal,74,Motorcycle Tragedy Veteran in coma, 999,"3,770","
                        ,  SAN DIEGO, CA                    ","Created August 15, 2016"
,,,Allison's DTS East Asia Outreach,,,,
,,,Nicole and Dave's Trip Fund,,,,
,,,"""Green Zone"" for At-Risk Youth",,,,
  Medical, of $10k goal,79,The Jon Kim Recovery Fund , 314,"3,470","
                        ,  INDIANAPOLIS, IN                    ","Created August 15, 2016"
,,,Louisiana Flood Recovery (Elderly),,,,
,,,SUP60m from Barford to Tewkesbury ,,,,
  Animals," of $7,000 goal",28,Taryn Needs Our Help!!!, 120,"2,400","
                        ,  RALEIGH, NC                    ","Created August 14, 2016"
  Volunteer," of $5,000 goal",5,Flood School Supplies and Clothes , 34,80,"
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Volunteer," of $1,600 goal",14,Send a Boy to Guatemala!, 52,620,"
                        ,  ALPINE, CA                    ","Created July 23, 2016"
  Volunteer," of $2,000 goal",19,Therapeutic Art w/ Peruvian Youth , 139,880,"
                        ,  KANSAS CITY, MO                    ","Created July 14, 2016"
  Animals," of $4,000 goal",52,Mangoworm Relief for Dogs and Cats, 131,"1,760","
                        ,  HUNTINGTON BEACH, CA                    ","Created July 13, 2016"
  Animals," of $9,000 goal",131,FUNDS FOR FELINES, 790,"6,510","
                        ,  MUNCIE, IN                    ","Created August 11, 2016"
  Animals," of $1,600 goal",20,My little dog Abbey's surgery, 56,625,"
                        ,  NORTH CHARLESTON, SC                    ","Created August 16, 2016"
  Animals," of $2,900 goal",57,Getting Kota home, 1.0K,"2,265","
                        ,  BRAIDWOOD, IL                    ","Created July 11, 2016"
  Animals," of $2,000 goal",21,Help save Bailey , 290,"1,245","
                        ,  Townsville, AU                    ","Created August 16, 2016"
  Animals," of $4,000 goal",64,Lucy's Medical Fund, 200,"2,915","
                        ,  NORTHRIDGE, CA                    ","Created August 13, 2016"
  Animals," of $1,500 goal",21,Monty's surgery and treatment , 30,735,"
                        ,  LOS ANGELES, CA                    ","Created August 15, 2016"
  Education," of $5,000 goal",37,Impacting a Life, 176,"3,715","
                        ,  SUITLAND, MD                    ","Created July 24, 2016"
  Education," of $6,000 goal",12,Special Education in Ghana, 90,656,"
                        ,  CHERRY HILL, NJ                    ","Created August 12, 2016"
  Education, of $1.0M goal,22,$1 for Higher Education in Ghana, 97,850,"
                        ,  PORTLAND, OR                    ","Created August 10, 2016"
  Education, of $250k goal,11,Brayden/Violet Education Fund, 111,"11,000","
                        ,  MISSOURI CITY, TX                    ","Created August 10, 2016"
  Education," of $2,000 goal",38,Mr. Dittmar's Classroom, 214,"2,073","
                        ,  LELAND, MS                    ","Created August 12, 2016"
  Education," of $2,000 goal",36,Help Chyna Finish at Bowie State, 79,900,"
                        ,  ACCOKEEK, MD                    ","Created July 28, 2016"
  Education, of $700 goal,11,Build a Fijian Kindergarten, 162,515,"
                        ,  Canberra, ACT                    ","Created August 15, 2016"
  Education," of $4,300 goal",11,Adam Tate's college fund, 116,"2,375","
                        ,  TAUNTON, MA                    ","Created August 14, 2016"
,,,Angus & Aidan’s bike ride 4 Namibia,,,,
,,,Erik The Reptile Guy  For PBS! ,,,,
  Charity, of $50k goal,32,Eve's Angels Safe-House Opportunity, 641,"2,860","
                        ,  MIDDLEVILLE, MI                    ","Created July 22, 2016"
  Charity, of $10k goal,37,Death of a Salesman in Yiddish, 237,"2,507","
                        ,  POMPANO BEACH, FL                    ","Created July 31, 2016"
  Charity, of $20k goal,47,Celebrate Lydia Anzures-Sullivan, 245,"4,340","
                        ,  BOTHELL, WA                    ","Created August 4, 2016"
  Charity, of $50k goal,21,Dallas Police Honor Guard Travel , 723,"1,005","
                        ,  DALLAS, TX                    ","Created July 29, 2016"
  Charity, of $30k goal,15,Project 1000 Dogs Nepal, 2.1K,853,"
                        ,  44700                    ","Created August 4, 2016"
  Charity," of $1,500 goal",31,Break the Silence, 174,"1,550","
                        ,  MINNEAPOLIS, MN                    ","Created July 11, 2016"
  Sports, of $10k goal,6,Secure Waratahs from vandals, 46,650,"
                        ,  Helensville, NZ                    ","Created August 15, 2016"
  Sports," of €7,500 goal",19,Making Basketball in Gambia Happen , 66,325,"
                        ,  Sligo, Sligo Ireland                    ","Created August 11, 2016"
  Sports, of $23k goal,19,From RASP to BreakingFree Skatepark, 57,"19,923","
                        ,  ROCHESTER, NY                    ","Created August 12, 2016"
  Sports," of $9,060 goal",10,Bellaire High Volleyball, 83,"1,410","
                        ,  BELLAIRE, TX                    ","Created August 4, 2016"
  Sports," of $3,000 goal",34,STAR ROUTE FARM : DEMOLITION DERBY, 93,"1,790","
                        ,  CHARLOTTEVILLE, NY                    ","Created July 30, 2016"
  Sports," of $5,940 goal",43,Katie's TeamUSA 2016 Road 2 Nanjing, 534,"2,445","
                        ,  TALLAHASSEE, FL                    ","Created July 29, 2016"
  Sports," of $4,000 goal",7,Judith and KenZee Disney Perfomance, 70,305,"
                        ,  VICTOR, ID                    ","Created July 23, 2016"
  Memorials, of $10k goal,69,In memory of Jeff Lute, 1.1K,"5,765","
                        ,  FORT WAYNE, IN                    ","Created August 16, 2016"
  Memorials," of $5,500 goal",87,Baby Jackson's funeral costs, 979,"6,730","
                        ,  SAN BERNARDINO, CA                    ","Created August 14, 2016"
  Memorials, of $10k goal,70,Jason's Funeral Expenses, 346,"4,160","
                        ,  SAN ANTONIO, TX                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",115,In Memory Of Ashley Sloss, 925,"8,680","
                        ,  Millbridge, WA                    ","Created August 14, 2016"
  Memorials, of $250k goal,71,Brian Hein Memorial Fund, 422,"6,155","
                        ,  SCOTTSDALE, AZ                    ","Created August 17, 2016"
  Memorials," of $5,000 goal",79,Samantha A Guandique Memorial Fund, 946,"9,335","
                        ,  WEST COVINA, CA                    ","Created August 14, 2016"
  Memorials, of $20k goal,176,In loving memory of Steven Cagno, 950,"14,480","
                        ,  NEWTON, NJ                    ","Created August 13, 2016"
  Memorials, of $10k goal,74,Familia  Arias, 699,"5,615","
                        ,  HYANNIS, MA                    ","Created August 16, 2016"
  Memorials, of $15k goal,75,Raeshon's Memorial Service, 334,"5,700","
                        ,  OAKLAND, CA                    ","Created August 15, 2016"
  Memorials," of $7,000 goal",74,Deanne Robinson's Funeral Fund, 346,"4,510","
                        ,  Cross Roads, SA                    ","Created August 16, 2016"
,,,HAITI RENAND FOUNDATION TRIP,,,,
,,,Emma and Rosemary; Refugee Support,,,,
  Emergencies, of $50k goal,54,Gomila Re-build, 138,"3,822","
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Emergencies, of $20k goal,53, The Storm-HE Remains in Control, 621,"14,235","
                        ,  YOUNGSVILLE, LA                    ","Created August 16, 2016"
  Emergencies, of $25k goal,55,Mother & Father Gone (Car Accident), 496,"3,915","
                        ,  LONG BEACH, CA                    ","Created August 15, 2016"
  Emergencies, of $10k goal,72,Dominique&Brandon's Flood Recovery!, 321,"3,030","
                        ,  DENHAM SPRINGS, LA                    ","Created August 13, 2016"
  Emergencies," of $5,000 goal",55,Courtney's Flooding Relief Fund, 119,"3,820","
                        ,  SHENANDOAH, VA                    ","Created August 15, 2016"
  Emergencies, of $10k goal,55,Help Michael and Sergio, 122,"7,755","
                        ,  LOWER LAKE, CA                    ","Created August 15, 2016"
  Volunteer," of $1,000 goal",10,Lacor Hospital Burn Unit, 49,750,"
                        ,  OVERLAND PARK, KS                    ","Created August 7, 2016"
  Emergencies," of $6,000 goal",83,Help replace stolen instruments! , 334,"4,575","
                        ,  ORLANDO, FL                    ","Created August 14, 2016"
  Emergencies, of $500 goal,56,Family In Need of Flood Relief , 184,"2,845","
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Emergencies, of $15k goal,56,Smith Family Louisiana Flood Fund, 155,"8,965","
                        ,  HERMITAGE, TN                    ","Created August 16, 2016"
  Education," of $3,000 goal",51,Help Heritage Get a 3D Printer, 222,"2,820","
                        ,  SAINT PAUL, MN                    ","Created July 21, 2016"
  Emergencies, of $10k goal,58,No Teen Should Live On The Street. , 809,"7,420","
                        ,  SCOTTSDALE, AZ                    ","Created August 14, 2016"
  Volunteer, of $20k goal,32,Stega: A Perfect Union, 358,"5,180","
                        ,  LOS ANGELES, CA                    ","Created July 15, 2016"
  Education, of $700 goal,12,Send budding archaeologist 2 Belize, 27,725,"
                        ,  ROCHESTER, NY                    ","Created August 16, 2016"
  Education," of $3,500 goal",17,Special Education Rm. 102!, 49,"3,350","
                        ,  SAN FRANCISCO, CA                    ","Created August 12, 2016"
  Education, of $40k goal,31,CoCo Learning with Dyslexia Journey, 131,"4,670","
                        ,  EVERGREEN, CO                    ","Created August 12, 2016"
  Education," of $3,700 goal",66,Help Oakland Youth: classroom fire, 144,"3,429","
                        ,  OAKLAND, CA                    ","Created August 6, 2016"
  Education," of $3,525 goal",42,Art and Humanitarian trip to Nepal, 262,"2,810","
                        ,  ROCHESTER, NY                    ","Created August 2, 2016"
  Education, of $600 goal,11,Ms. Emanuel's 5th Grade Class, 43,395,"
                        ,  HOUSTON, TX                    ","Created August 15, 2016"
