"","PreK_Type","Borough","LocName","phone","address","Email","Website","lat","lon","zip","Seats","Length","Meal_Plan","Playspace","Extended_Day_Care","Priority"
"369","NYCEEC","Brooklyn","Chick Peas Child Care","347-878-8732","451 7th Ave","admissions@chickpeas.org","http://chickpeas.org",40.6627933,-73.984701,11215,12,"Full Day","Contact agency","Outdoor (onsite)","Not offered","None"
"370","NYCEEC","Brooklyn","Bay Ridge CCC","718-768-5030","314 - 44th St","Bayridgechildcare@twcmetrobiz.com","",40.650666,-74.010943,11220,60,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite/offsite)","Not offered","Income and other eligibility requirements apply"
"371","NYCEEC","Brooklyn","Hanson Place CDC, Inc.","718-237-4303","55 Hanson Pl","carol.brathwaite@yahoo.com","http://hansonplaceinc.com",40.6856283,-73.9757756,11217,20,"Full Day","Contact agency","Indoor/Outdoor (offsite)","Offered","None"
"372","NYCEEC","Brooklyn","A.C.E. ECC","718-439-0450","199 14th Street2nd Floor","aguo@lmcmc.com","",40.6671728,-73.9904312,11215,17,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"373","NYCEEC","Brooklyn","A Fantis Parochial School","718-624-0501","195 State St","upkdirector@afantis.org","",40.6903052,-73.9913524,11201,40,"Full Day","Contact agency","Contact agency","Contact agency","None"
"374","NYCEEC","Brooklyn","Warren Street Center","718-237-9578","343 Warren St","nsingh@lmcmc.com","http://lutheranhealthcare.org/main/warrenstreetcenterforchildrenandfamilies.aspx",40.6852728,-73.9902123,11201,26,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) and Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"375","NYCEEC","Brooklyn","Sunset Park Children's School","718-439-3323","4616 4th Ave","mothergoose11232@gmail.com","http://sunsetparkchild.com",40.6484986,-74.0110015,11220,18,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"376","NYCEEC","Brooklyn","Therapy And Learning Center, Inc.","718-290-2750","1723 8th Ave","sandee.bennett@tlckids.org","",40.658992,-73.98471,11215,32,"Full Day","Contact agency","Contact agency","Contact agency","None"
"377","NYCEEC","Brooklyn","Nesivos Bais Yaakov","718-972-0804","1021 45th St","nbyupk@gmail.com","",40.6410135,-73.9955942,11219,40,"5-Hour","Lunch/Snacks","Outdoor (onsite/offsite)","Offered","None"
"378","NYCEEC","Brooklyn","Bedford - Stuyvesant ECDC","718-453-0500","275 Marcus Garvey Blvd","spiveys@bsecdc.org","",40.6882049,-73.939058,11221,40,"Full Day","Contact agency","Contact agency","Contact agency","None"
"379","NYCEEC","Brooklyn","Bedford - Stuyvesant ECDC","718-453-0605","214 Stuyvesant Ave","rattanik@bsecdc.org","",40.6877929,-73.9331618,11221,37,"Full Day","Breakfast/Lunch/Snacks","Outdoor (offsite)","Not offered","None"
"380","NYCEEC","Brooklyn","Bedford Stuyvesant ECDC 260","718-453-0722","260 Jefferson Ave","foxcasalk@bsecdc.org","",40.6833632,-73.9471733,11216,20,"5-Hour","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"381","NYCEEC","Brooklyn","Bedford Stuyvesant ECDC 262","718-453-0760","262 Lexington Ave","foxcasalk@bsecdc.org","",40.6876111,-73.9514253,11216,30,"5-Hour","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"382","NYCEEC","Brooklyn","Bedford Stuyvesant ECDC 265","718-455-5565","813 Hancock St","mimsd@bsecdc.org","",40.685878,-73.922772,11233,48,"5-Hour","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"383","NYCEEC","Brooklyn","Bedford - Stuyvesant ECDC","718-453-0681","971 Dekalb Ave","gonzalezt@bsecdc.org","",40.6931113,-73.9363881,11221,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","None"
"384","NYCEEC","Brooklyn","Billy Martin CDC","718-857-5630","333 Classon Ave","billymartin333@yahoo.com","",40.6898512,-73.9598459,11205,18,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"385","NYCEEC","Brooklyn","Community Parents Head Start","718-771-4002","90 Chauncey St","cycummings@optimum.net","",40.6799752,-73.9297892,11233,30,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"386","NYCEEC","Brooklyn","Mary McLeod Bethune CDC","718-455-5137","360 Pulaski St","marybethune360@gmail.com","http://marymcleodbethunechilddevelopmentcenter.com",40.6936525,-73.9364096,11206,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"387","NYCEEC","Brooklyn","Shirley Chisholm DCC Site 1","718-756-1721","2023 Pacific St","scd2023@aol.com","",40.6763081,-73.9210131,11233,40,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"388","NYCEEC","Brooklyn","Stanley S Lamm Institute Preschool","718-237-8833","500 19th St","acaccamo@lammpreschool.org","http://lammpreschool.org",40.656204,-73.982638,11215,16,"5-Hour","Breakfast/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"389","NYCEEC","Brooklyn","Friends Of Crown Heights #16","718-778-8558","963 Park Pl","crafton34@gmail.com","",40.6734588,-73.9455881,11213,17,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"390","NYCEEC","Brooklyn","Our Children's Center","718-260-5192","300 Jay St Room G309","jwallace@citytech.cuny.edu","",40.695506,-73.9878817,11201,25,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"391","NYCEEC","Brooklyn","196 Albany Avenue DCC","718-773-0071","196 Albany Ave","albanydr19@aol.com","http://albanydaycare.org",40.673939,-73.9392536,11213,28,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","Income and other eligibility requirements apply"
"392","NYCEEC","Brooklyn","Ring Around The Rosie","718-492-7464","7104 13th Ave","Ring7104@verizon.net","",40.6225785,-74.0054307,11228,16,"Full Day","Breakfast/Snacks","Outdoor (onsite/offsite)","Offered","None"
"393","NYCEEC","Brooklyn","Friends Of Crown Heights 2","718-638-8686","671 Prospect Pl","davis@fochdaycare.org","http://fochdaycare.org",40.6750483,-73.9544301,11216,47,"Full Day","Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","Income and other eligibility requirements apply"
"394","NYCEEC","Brooklyn","Joan Watkins Corp. D / B / A Pre - School Minds DCC","718-284-9392","3316 - 18 Church Ave","preschoolminds@verizon.et","",40.650753,-73.946044,11203,40,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Not offered","None"
"395","NYCEEC","Brooklyn","Phebeana Preschool, Inc.","718-284-8147","160 Parkside Ave","phebeanapreskool@aol.com","",40.6542279,-73.9629594,11226,48,"Full Day","Lunch/Snacks","Outdoor (offsite)","Offered","None"
"396","NYCEEC","Brooklyn","The Children's Center @ SUNY Brooklyn","718-221-6160","440 Lenox Rd","maryann.moran@downstate.edu","",40.654103,-73.944622,11203,16,"Full Day","Contact agency","Contact agency","Contact agency","None"
"397","NYCEEC","Brooklyn","Traditional DCC","917-306-2070","1112 Winthrop St","marishaking@gmail.com","",40.6618469,-73.9228439,11212,36,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"398","NYCEEC","Brooklyn","Yeled V'Yalda 407","718-514-8712","407 East 53rd St","mhorowitz@yeled.org","http://yeled.org",40.649778,-73.926934,11203,24,"5-Hour","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"399","NYCEEC","Brooklyn","John Coker DCC","718-452-1414","1375 Bushwick Ave","JOHNCOKER75@AOL.COM","",40.6854659,-73.9104335,11207,37,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"400","NYCEEC","Brooklyn","Friends Of Crown Heights","718-284-2184","141 East 40th St","saddler@foch.biz","http://fochdaycare.com",40.6522748,-73.9398934,11203,36,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"401","NYCEEC","Brooklyn","Blake & Milford DCC","718-277-2003","334 Milford St","Blakeandmilforddaycare@yahoo.com","http://blakeandmilforddaycare.com",40.6710211,-73.8764522,11208,18,"Full Day","Breakfast/Lunch/Snacks","Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"402","NYCEEC","Brooklyn","Boulevard Nursery School","718-649-2295","2150 Linden Blvd","coraliehook@gmail.com","",40.661343,-73.8834184,11207,20,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite/offsite)","Offered","Income and other eligibility requirements apply"
"403","NYCEEC","Brooklyn","Breukelen ECDC","718-649-1463","717 East 105th St","breukelendcc@verizon.net","",40.6487699,-73.8954925,11236,34,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"404","NYCEEC","Brooklyn","Marie Durdin CCC","718-647-4730","2700 Linden Blvd","mariedurdinchildcare@msn.com","",40.668292,-73.864436,11208,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"405","NYCEEC","Brooklyn","Sylvia Klein CCC","718-647-2274","720 Euclid Ave","sylviaklein.daycare@verizon.net","",40.6691928,-73.8708966,11208,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) and Outdoor (offsite)","Not offered","Income and other eligibility requirements apply"
"406","NYCEEC","Brooklyn","Help I","718-498-4002","515 Blake Ave","cviruet@helpusa.org","http://helpusa.org",40.6678551,-73.9004566,11207,38,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"407","NYCEEC","Brooklyn","Breukelen Head Start","718-649-2960","715 East 105th St","","",40.6489429,-73.8955086,11236,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","Income and other eligibility requirements apply"
"408","NYCEEC","Brooklyn","Recreation Rooms And Settlement Starrett Early Learning","718-642-8724","125 Schrooeders Ave","ssippy@aol.com","",40.6482317,-73.8810966,11239,20,"Full Day","Lunch/Snacks","Outdoor (onsite/offsite)","Offered","None"
"409","NYCEEC","Brooklyn","United Community DCC","718-385-1201","613 New Lots Ave","sylvenmiller@yahoo.com","http://ucceny.org",40.6649239,-73.8866767,11207,66,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) and Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"410","NYCEEC","Brooklyn","Recreation Rooms And Settlement Starrett Early Learning","718-642-8724","1325 Pennsylvania Ave","ssippy@aol.com","",40.6485639,-73.8821944,11239,40,"Full Day","Lunch/Snacks","Outdoor (onsite/offsite)","Offered","None"
"411","NYCEEC","Brooklyn","Beth Jacob DCC","718-435-5755","1363 46th St","up-ka@hotmail.com","",40.6275703,-73.9314847,11219,106,"Full Day","Lunch/Snacks","Outdoor (onsite)","Not offered","Income and other eligibility requirements apply"
"412","NYCEEC","Brooklyn","Brooklyn Child Care, Inc.","718-630-2831","800 Poly Pl Building 2","tanya.lipkin@va.gov","",40.6087416,-74.024293,11209,15,"Full Day","Contact agency","Outdoor (onsite)","Offered","None"
"413","NYCEEC","Brooklyn","Georgia L Mcmurray Bat Kids Center","718-567-0818","140 58th St","glmbatkids@yahoo.com","",40.6455096,-74.0238947,11220,29,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"414","NYCEEC","Brooklyn","Generation21 Day Care","718-621-9321","6709 19th Ave","Generation21daycare@gmail.com","",40.6163213,-73.9892876,11204,52,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"415","NYCEEC","Brooklyn","Long Xing DCC, Inc.","718-853-8989","825 57th St Fl 3","longxingdcc@gmail.com","",40.6369195,-74.0069591,11220,28,"Full Day","Lunch/Snacks","Outdoor (onsite)","Offered","None"
"416","NYCEEC","Brooklyn","Mother Love","718-853-1408","1681 49 St, #1f","motherslove@earthlink.net","",40.6300325,-73.9834442,11204,38,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"417","NYCEEC","Brooklyn","NYL - William O'Connor","718-680-9751","420 95th St","mary.olsen@yai.org","",40.6150161,-74.0304389,11209,19,"Full Day","Contact agency","Indoor/Outdoor (onsite) and Outdoor (offsite)","Not offered","None"
"418","NYCEEC","Brooklyn","Smart Start ECC","718-921-1868","8411 Ft Hamilton Pkwy","smartstart@verizon.net","http://smartstart.org",40.6210448,-74.0230553,11209,48,"Full Day","Contact agency","Outdoor (onsite)","Offered","None"
"419","NYCEEC","Brooklyn","Star America, Inc.","718-431-2545","880 60th St","Starbrooklyn880@yahoo.com","",40.6341026,-74.0077082,11220,72,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"420","NYCEEC","Brooklyn","Tiny Tots Playhouse, LLC, The","718-745-4509","243 88 St","tinytotplayhouse@aol.com","http://tinytotsplayhouse.wix.com/tinytots",40.6225704,-74.0328595,11209,54,"5-Hour","Snacks","Outdoor (onsite)","Offered","None"
"421","NYCEEC","Brooklyn","Long Xing DCC, Inc.","718-853-8989","762 59th St, 2 / F & 3 / F","longxingdcc@gmail.com","",40.636565,-74.009728,11220,58,"Full Day","Lunch/Snacks","Outdoor (onsite)","Offered","None"
"422","NYCEEC","Brooklyn","Buratino International Day Care","718-368-2113","2962 Brighton 1st St","svetauchetel@yahoo.cm","http://buratinodaycare.com",40.5791447,-73.9668069,11235,36,"Full Day","Breakfast","Outdoor (onsite)","Offered","None"
"423","NYCEEC","Brooklyn","Cinderella Day Care","718-743-1841","130 Brighton 11th St","cinderelladcc@optonline.com","http://cinderelladaycare.com",40.579791,-73.958173,11235,18,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"424","NYCEEC","Brooklyn","M.S. Sunshine DCC","718-648-8786","3096 Brighton 6th St","mila2005yu@yahoo.com","",40.5768896,-73.9616087,11235,35,"Full Day","Lunch/Snacks","Outdoor (onsite/offsite)","Offered","None"
"425","NYCEEC","Brooklyn","Magen David Yeshivah","718-676-0215","2170 Mcdonald Ave","pbruger@mdyschool.org","",40.599822,-73.973142,11223,100,"5-Hour","Contact agency","Contact agency","Contact agency","None"
"426","NYCEEC","Brooklyn","Red Hat DCC, Inc.","718-336-1480","1317 East 15th St","daycareredhat@yahoo.com","http://redhatdaycare.com",40.6175504,-73.9597596,11230,29,"5-Hour","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"427","NYCEEC","Brooklyn","Sephardic Community Center","718-627-4300","1901 Ocean Pkwy","barry@scclive.org","",40.6022687,-73.9654137,11223,15,"5-Hour","Contact agency","Contact agency","Contact agency","None"
"428","NYCEEC","Brooklyn","Shorefront YM - YWHA","718-646-1444","3300 Coney Is Ave","kirilko@shorefronty.org","http://shorefronty.org",40.5755895,-73.9600061,11235,54,"Full Day","Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"429","NYCEEC","Brooklyn","Friends Of Crown Heights 6","718-372-8189","49 Ave W","viptorres@aol.com","",40.5918943,-73.9822451,11223,20,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"430","NYCEEC","Brooklyn","Shore Parkway Head Start","718-265-2359","8885 26th Ave","sparkway8885@gmail.com","",40.590687,-73.9903774,11214,36,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"431","NYCEEC","Brooklyn","Bambi Day Care III","718-368-1817","2114 Brown St","info@bambiacademy.com","http://bambidaycare.com",40.6001071,-73.9401777,11229,98,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"432","NYCEEC","Brooklyn","Keshet Learning Center","718-376-6958","1612 Quentin Rd","Queenpa18@aol.com","",40.6082109,-73.9568023,11229,18,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite/offsite)","Offered","None"
"433","NYCEEC","Brooklyn","Fantasia DCC","718-646-6738","2743 Ocean Ave","fantasiadcc@hotmail.com","http://fantasiadaycare.com",40.5944463,-73.9501798,11229,33,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"434","NYCEEC","Brooklyn","Get Set Kindergarten School - Linden","718-856-4646","623 Linden Blvd","getsetkaye@hotmail.com","",40.6537307,-73.9355666,11203,36,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"435","NYCEEC","Brooklyn","Get Set Kindergarten School Site - Cortelyou","718-856-4646","1919 Cortelyou Rd","getsetkaye@hotmail.com","",40.643304,-73.9603839,11226,54,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"436","NYCEEC","Brooklyn","Get Set Kindergarten School Site - Snyder","718-856-4646","2301 Snyder Ave","getsetkaye@hotmail.com","",40.6487881,-73.9554027,11226,36,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Offered","None"
"437","NYCEEC","Brooklyn","Bushwick United HDFC 7","718-443-0134","600 Hart St","JUANC@BUSHWICKUNITED.ORG","http://bushwickunited.org",40.6974188,-73.9282329,11221,55,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) and Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"438","NYCEEC","Brooklyn","Infinity UPK","718-336-1981","1972 East 34th St","infinityoffice@infinitypreschool.org","http://infinitypreschool.org",40.6089692,-73.9333405,11234,56,"Full Day","Contact agency","Indoor/Outdoor (onsite) and Outdoor (offsite)","Offered","None"
"439","NYCEEC","Brooklyn","Kingsbay YM - YWHA, Inc.","718-648-7703","3495 Nostrand Ave","susan@kingsbayy.org","http://kingsbayy.org",40.5988563,-73.941239,11229,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"440","NYCEEC","Brooklyn","Nayema Universal Child Center","718-462-3688","1107 Newkirk Ave","lenxcare@aol.com","",40.6341547,-73.9662012,11230,18,"Full Day","Breakfast/Snacks","Outdoor (offsite)","Not offered","None"
"441","NYCEEC","Brooklyn","Rainbow DCC","718-377-2918","3846 Flatlands Ave","rainbowdaycarecenter@me.com","http://rainbowdaycarecenter.org",40.6195597,-73.937499,11234,20,"Full Day","Snacks","Outdoor (onsite/offsite)","Offered","None"
"442","NYCEEC","Brooklyn","Tiny Tots Express, Inc.","718-338-9561","3321 Ave N","ttexpressinc@aol.com","http://tinytotsexpressinc.webs.com",40.6178074,-73.9415432,11234,15,"Full Day","Snacks","Outdoor (onsite)","Offered","None"
"443","NYCEEC","Brooklyn","Friends Of Crown Heights Educational Center #5","718-284-9194","1886 Nostrand Ave","nichols@foch.biz","http://fochdaycare.org",40.6394997,-73.9487946,11226,110,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"444","NYCEEC","Brooklyn","Salvation Army - Brownsville DCC","718-345-2488","280 Riverdale Ave 1","Kimberly.Durham-Carr@use.salvationarmy.org","http://salvationarmy.org",40.6611119,-73.9062711,11212,38,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","Income and other eligibility requirements apply"
"445","NYCEEC","Brooklyn","Bushwick United HDFC 3","718-453-9040","331 Central Ave","MARYANGELC@BUSHWICKUNITED.ORG","http://bushwickunited.org",40.6950516,-73.9194005,11221,20,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"446","NYCEEC","Brooklyn","Bushwick United HDFC 2","718-821-2345","77 Wilson Ave","BUSHEDU@AOL.COM","",40.7020679,-73.9276891,11237,38,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"447","NYCEEC","Brooklyn","HCHC, Inc.","718-443-3917","1419 Broadway","vera.gregory@aceintegration.org","",40.688658,-73.9201694,11221,10,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) and Outdoor (offsite)","Not offered","None"
"448","NYCEEC","Brooklyn","New Life CDC 3","718-417-4214","408 Grv St","newlifedc2@verizon.net","",40.7012018,-73.9125457,11237,58,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"449","NYCEEC","Brooklyn","Salvation Army, Bushwick","718-455-0100","1151 Bushwick Ave","Indhira.Reyes@use.salvationarmy.org","",40.6892997,-73.9170581,11221,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"450","NYCEEC","Brooklyn","Friends Of Crown Heights 9","718-773-7733","813 Sterling Pl","pbutts@foch.biz","http://fochdaycare.org",40.6726229,-73.9516348,11216,55,"Full Day","Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"451","NYCEEC","Brooklyn","Charles R Drew ELC 5","718-740-2400","2804 Glenwood Rd","crddcc@aol.com","http://charlesrdrewforsuccess.org",40.6339707,-73.9498824,11210,61,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Not offered","Income and other eligibility requirements apply"
"452","NYCEEC","Brooklyn","Bedford Stuyvesant ECDC 133","718-453-0828","133 Kings First Walk","rattanik@bsecdc.org","",40.6755016,-73.9271777,11233,15,"5-Hour","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"453","NYCEEC","Brooklyn","Brightside Academy - Barbey","718-257-2222","683 Barbey St","pswift@brightsideacademy.com","http://brightsideacademy.com",40.6656426,-73.8853687,11207,28,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"454","NYCEEC","Brooklyn","Brightside Academy - Belmont","718-346-1064","50 Belmont Ave","msteele@brightsideacademy.com","http://brightsideacademy.com",40.668513,-73.9082053,11212,48,"Full Day","Contact agency","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"455","NYCEEC","Brooklyn","Brightside Academy - Broadway","718-455-1612","1491 Broadway","rinman@brightsideacademy.com","http://brightsideacademy.com",40.6873875,-73.9178191,11221,55,"Full Day","Contact agency","Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"456","NYCEEC","Brooklyn","Brightside Academy - Dekalb Ave","718-574-3710","844 Dekalb Ave","sfurbert@brightsideacademy.com","http://brightsideacademy.com",40.6922241,-73.9419821,11221,16,"Full Day","Contact agency","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"457","NYCEEC","Brooklyn","Gan Yisroel","718-853-9853","3909 15th Ave","ll@ganyisroel.org","http://ganyisroel.org/",40.6375491,-73.9819565,11218,58,"Full Day","Contact agency","Contact agency","Contact agency","None"
"458","NYCEEC","Brooklyn","BCS Atlantic Avenue ELC","347-296-4980","1825 Atlantic Ave","msurrency@wearebcs.org","http://wearebcs.org",40.6774749,-73.9257807,11233,18,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","Income and other eligibility requirements apply"
"459","NYCEEC","Brooklyn","Butterfly","718-677-9343","2810 Nostrand Ave","margarita.karimova24@gmail.com","http://brooklyn-butterfly.com",40.6151591,-73.9452026,11229,18,"Full Day","Contact agency","Contact agency","Contact agency","None"
"460","NYCEEC","Brooklyn","Brooklyn Chinese American Assoc. - Bay Ridge DCC","718-438-0008","4202 8th Ave","bcachildcare@aol.com","http://bca.net",40.6456639,-73.999466,11232,105,"Full Day","Breakfast/Lunch/Snacks","Outdoor (offsite)","Not offered","Income and other eligibility requirements apply"
"461","NYCEEC","Brooklyn","Brooklyn Chinese American Assoc.","718-331-8809","6409 20 Ave","michelleluo98@hotmail.com","",40.6166817,-73.9852749,11204,35,"Full Day","Breakfast/Lunch/Snacks","Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"462","NYCEEC","Brooklyn","Bumble Bees R Us 3","718-434-2337","2813 Farragut Rd","info@bumblebeesrus.com","http://bumblebeesrus.com",40.6362076,-73.9493314,11210,26,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"463","NYCEEC","Brooklyn","Helen Owen Carey CDC","718-638-4100","71 Lincoln Pl","PSNHOC@universitysettlement.org","http://universitysettlement.org",40.677119,-73.977547,11217,72,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Income and other eligibility requirements apply"
"464","NYCEEC","Brooklyn","St. Malachy ECDC","718-647-0966","220 Hendrix St","ljohnson@ccbq.org","http://ccbq.org",40.6769863,-73.8907526,11207,20,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Not offered","None"
"465","NYCEEC","Brooklyn","New Life CDC 2","718-366-1668","406 Grv St","NEWLIFEHEADSTART@AOL.COM","",40.7011301,-73.9126354,11237,78,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (offsite)","Offered","Income and other eligibility requirements apply"
"466","NYCEEC","Brooklyn","Nuestros Ninos DCC I","718-218-8275","384 South 4th St","NuestrosNinosCDS@aol.com","",40.7079151,-73.9525243,11211,35,"Full Day","Contact agency","Contact agency","Contact agency","Income and other eligibility requirements apply"
"467","NYCEEC","Brooklyn","Nuestros Ninos DCC III","718-388-5000","161 South 3rd St","aaccoo702am@gmail.com","",40.7122384,-73.9611477,11211,13,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"468","NYCEEC","Brooklyn","Urban Strategies 3","718-348-9349","1152 Elton St","usheadstart1@aol.com","http://urbanstrategiesny.org",40.6560258,-73.874161,11239,40,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","Income and other eligibility requirements apply"
"469","NYCEEC","Brooklyn","Brooklyn Chinese - American Assoc.","718-438-0008","5002 8 Ave","future@bca.net","",40.641128,-74.004032,11220,54,"5-Hour","Contact agency","Contact agency","Contact agency","None"
"470","NYCEEC","Brooklyn","Bnos Square Of Williamsburg","718-797-9844","382 Willoughby Ave","mkohn@bnossquare.org","",40.6928817,-73.9553121,11205,58,"5-Hour","Contact agency","Contact agency","Contact agency","None"
"471","NYCEEC","Brooklyn","Ella Baker Charles Romain CDC Of Medgar Evers","718-270-6018","1150 Carroll St","Janetm@mec.cuny.edu","http://mec.cuny.edu",40.6668222,-73.9522379,11225,16,"Full Day","Breakfast/Lunch/Snacks","Outdoor (offsite)","Offered","None"
"472","NYCEEC","Brooklyn","Yeled V'Yalda ECC, Inc.","718-732-7770","2166 Coney Is Ave","cbuchman@yeled.org","http://yeled.org",40.6040495,-73.9621602,11223,40,"5-Hour","Breakfast","Outdoor (onsite)","Offered","None"
"473","NYCEEC","Brooklyn","United Methodist City Society, The","718-435-6540","4419 7th Ave","manguiano2@Yahoo.com","",40.6452231,-74.0026178,11220,54,"5-Hour","Breakfast/Lunch","Outdoor (onsite)","Not offered","None"
"474","NYCEEC","Brooklyn","Yeshiva Headstart Keap Street","718-486-6500","274 Keap St","yeshivaheadstart@thejnet.com","",40.706583,-73.955574,11211,86,"5-Hour","Lunch","Indoor","Not offered","None"
"475","NYCEEC","Brooklyn","Brooklyn College Child Care Services, Inc.","718-951-5431","2900 Bedford Ave","mondesir@brooklyn.cuny.edu","http://brooklyn.cuny.edu/web/academics/schools/education/partnerships/ecc.php",40.63179,-73.953419,11210,20,"5-Hour","Breakfast/Lunch/Snacks","Outdoor (onsite)","Offered","None"
"476","NYCEEC","Brooklyn","Yeled V'Yalda 667","718-514-8712","667 Eastern Pkwy","mhorowitz@yeled.org","http://yeled.org",40.6700908,-73.9457819,11213,54,"5-Hour","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
