LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,zip,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
KBRZ,NYCEEC,K,Bushwick United HDFC 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-453-9040,331 Central Ave,11221,1,20,1006609,192524,MARYANGELC@BUSHWICKUNITED.ORG,http://bushwickunited.org,5,9,3,32KBRZ
KBSA,NYCEEC,K,Bushwick United HDFC 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-821-2345,77 Wilson Ave,11237,1,38,1004288,195057,BUSHEDU@AOL.COM,,5,9,3,32KBSA
KBSB,NYCEEC,K,"HCHC, Inc.",,718-443-3917,1419 Broadway,11221,1,10,1006406,190170,vera.gregory@aceintegration.org,,3,4,2,32KBSB
KBSC,NYCEEC,K,New Life CDC 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-417-4214,408 Grv St,11237,1,58,1008501,194797,newlifedc2@verizon.net,,3,7,1,32KBSC
KBSD,NYCEEC,K,"Salvation Army, Bushwick",<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-455-0100,1151 Bushwick Ave,11221,1,20,1007190,190417,Indhira.Reyes@use.salvationarmy.org,,3,3,1,32KBSD
KBSI,NYCEEC,K,Friends Of Crown Heights 9,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-773-7733,813 Sterling Pl,11216,1,55,997721,184380,pbutts@foch.biz,http://fochdaycare.org,7,3,1,17KBSI
KBSL,NYCEEC,K,Charles R Drew ELC 5,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-740-2400,2804 Glenwood Rd,11210,1,61,998137,170247,crddcc@aol.com,http://charlesrdrewforsuccess.org,3,7,2,22KBSL
KBTA,NYCEEC,K,Bedford Stuyvesant ECDC 133,,718-453-0828,133 Kings First Walk,11233,3,15,1004502,185396,rattanik@bsecdc.org,,3,7,1,16KBTA
KBTB,NYCEEC,K,Brightside Academy - Barbey,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-257-2222,683 Barbey St,11207,1,28,1016019,181750,pswift@brightsideacademy.com,http://brightsideacademy.com,3,7,1,19KBTB
KBTC,NYCEEC,K,Brightside Academy - Belmont,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-346-1064,50 Belmont Ave,11212,1,48,1009679,182868,msteele@brightsideacademy.com,http://brightsideacademy.com,5,7,1,23KBTC
KBTE,NYCEEC,K,Brightside Academy - Broadway,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-455-1612,1491 Broadway,11221,1,55,1007026,189699,rinman@brightsideacademy.com,http://brightsideacademy.com,5,6,1,32KBTE
KBTH,NYCEEC,K,Brightside Academy - Dekalb Ave,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-574-3710,844 Dekalb Ave,11221,1,16,1000255,191478,sfurbert@brightsideacademy.com,http://brightsideacademy.com,5,7,1,16KBTH
KBTL,NYCEEC,K,Gan Yisroel,,718-853-9853,3909 15th Ave,11218,1,58,989272,171548,ll@ganyisroel.org,http://ganyisroel.org/,5,9,3,20KBTL
KBUA,NYCEEC,K,BCS Atlantic Avenue ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-296-4980,1825 Atlantic Ave,11233,1,18,1004969,186076,msurrency@wearebcs.org,http://wearebcs.org,3,3,2,16KBUA
KBUF,NYCEEC,K,Butterfly,,718-677-9343,2810 Nostrand Ave,11229,1,18,999521,163428,margarita.karimova24@gmail.com,http://brooklyn-butterfly.com,5,9,3,22KBUF
KBUJ,NYCEEC,K,Brooklyn Chinese American Assoc. - Bay Ridge DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-438-0008,4202 8th Ave,11232,1,105,984437,174480,bcachildcare@aol.com,http://bca.net,3,6,2,15KBUJ
KBUL,NYCEEC,K,Brooklyn Chinese American Assoc.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-331-8809,6409 20 Ave,11204,1,35,988328,163974,michelleluo98@hotmail.com,,3,6,1,20KBUL
KBUM,NYCEEC,K,Bumble Bees R Us 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-434-2337,2813 Farragut Rd,11210,1,26,998301,171133,info@bumblebeesrus.com,http://bumblebeesrus.com,3,2,1,22KBUM
KBUV,NYCEEC,K,Helen Owen Carey CDC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-638-4100,71 Lincoln Pl,11217,1,72,990467,185964,PSNHOC@universitysettlement.org,http://universitysettlement.org,3,3,1,13KBUV
KBUW,NYCEEC,K,St. Malachy ECDC,,718-647-0966,220 Hendrix St,11207,1,20,1014559,185982,ljohnson@ccbq.org,http://ccbq.org,3,3,2,19KBUW
KBVB,NYCEEC,K,New Life CDC 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-366-1668,406 Grv St,11237,1,78,1008455,194743,NEWLIFEHEADSTART@AOL.COM,,3,2,1,32KBVB
KBVC,NYCEEC,K,Nuestros Ninos DCC I,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-218-8275,384 South 4th St,11211,1,35,997413,197193,NuestrosNinosCDS@aol.com,,5,9,3,14KBVC
KBVD,NYCEEC,K,Nuestros Ninos DCC III,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-388-5000,161 South 3rd St,11211,1,13,994991,198771,aaccoo702am@gmail.com,,3,7,1,14KBVD
KBVE,NYCEEC,K,Urban Strategies 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-348-9349,1152 Elton St,11239,1,40,1019142,178427,usheadstart1@aol.com,http://urbanstrategiesny.org,3,7,1,19KBVE
KBVG,NYCEEC,K,Brooklyn Chinese - American Assoc.,,718-438-0008,5002 8 Ave,11220,3,54,983142,172852,future@bca.net,,5,9,3,15KBVG
KBVJ,NYCEEC,K,Bnos Square Of Williamsburg,,718-797-9844,382 Willoughby Ave,11205,3,58,996646,191717,mkohn@bnossquare.org,,5,9,3,13KBVJ
KBVL,NYCEEC,K,Ella Baker Charles Romain CDC Of Medgar Evers,,718-270-6018,1150 Carroll St,11225,1,16,997614,182305,Janetm@mec.cuny.edu,http://mec.cuny.edu,3,6,1,17KBVL
KBVO,NYCEEC,K,"Yeled V'Yalda ECC, Inc.",,718-732-7770,2166 Coney Is Ave,11223,3,40,994805,159373,cbuchman@yeled.org,http://yeled.org,1,7,1,21KBVO
KBVR,NYCEEC,K,"United Methodist City Society, The",,718-435-6540,4419 7th Ave,11220,3,54,983514,174356,manguiano2@Yahoo.com,,2,7,2,15KBVR
KBVT,NYCEEC,K,Yeshiva Headstart Keap Street,,718-486-6500,274 Keap St,11211,3,86,996553,196720,yeshivaheadstart@thejnet.com,,6,1,2,14KBVT
KBVV,NYCEEC,K,"Brooklyn College Child Care Services, Inc.",,718-951-5431,2900 Bedford Ave,11210,3,20,997316,169422,mondesir@brooklyn.cuny.edu,http://brooklyn.cuny.edu/web/academics/schools/education/partnerships/ecc.php,3,7,1,22KBVV
KBVX,NYCEEC,K,Yeled V'Yalda 667,,718-514-8712,667 Eastern Pkwy,11213,3,54,999237,183401,mhorowitz@yeled.org,http://yeled.org,3,3,1,17KBVX
KBVZ,NYCEEC,K,Little Sun People,,718-789-7330,1360 Fulton St,11216,1,18,999090,187012,faye@littlesunpeople.com,http://littlesunpeople.com,3,6,1,13KBVZ
KBWC,NYCEEC,K,Sunset Park ECC,,718-722-6236,5902 6 Ave,11220,1,20,980400,171927,desiree.fryson@ccbq.org,,5,9,3,20KBWC
KBWD,NYCEEC,K,Child Prodigy Learning Inc.,,718-574-7558,1001 Broadway,11221,1,18,1002717,192915,s.bacchuscplc@gmail.com,http://childprodigylearningcenter.com,3,2,1,32KBWD
KBWE,NYCEEC,K,Inner Force Tots,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-221-1246,1181 East New York Ave,11212,1,145,1005522,182307,challiman@live.com,http://innerforce.org,3,2,1,17KBWE
KBWG,NYCEEC,K,Life - Coney Island,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-942-4494,2757 West 33rd St,11224,1,27,984471,149969,mjordan@lifetech.org,http://lifetech.org,3,7,1,21KBWG
KBWH,NYCEEC,K,Jonathan Williams,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-387-5011,321 Roebling St,11211,1,31,995245,197276,vscott@lifetech.com,http://lifetech.org,3,7,1,14KBWH
KBWQ,NYCEEC,K,Family Head Start Coney Island,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-265-7760,2960 West 27th St,11224,1,28,986177,148311,west27street@gmail.com,,3,3,1,21KBWQ
KBWT,NYCEEC,K,Our Children The Leaders Of Tomorrow 1,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-643-8201,756 Myrtle Ave,11206,1,28,997570,192432,oclot756@gmail.com,,3,2,1,14KBWT
KBWV,NYCEEC,K,St. Johns Place Family Center Day Care Program,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-771-7720,1620 Saint Johns Pl,11233,1,19,1005321,183387,carolyn@stjohnsplace.org,http://stjohnsplace.org,3,7,1,17KBWV
KBWW,NYCEEC,K,Williamsburg Y Head Start,,718-387-0229,64 Division Ave,11249,3,90,993758,196868,nbonuso628@gmail.com,http://williamsburgy.org,3,7,1,14KBWW
KBXK,NYCEEC,K,Brightside Academy - Clarkson,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-941-1802,210 Clarkson Ave,11226,1,18,997420,177902,nbennett@brightsideacademy.com,http://brightsideacademy.com,5,1,1,17KBXK
KBXL,NYCEEC,K,A.C.E. Integration Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-443-3917,1419 - 23 Broadway,11221,1,63,1006362,190197,lydiawilliams.aceheadstart@aol.com,http://aceintegration.org,3,7,2,32KBXL
KBXQ,NYCEEC,K,"Gan, Inc. - Gan Jewish Day Care",,718-338-7575,2901 Campus Rd,11210,1,36,998563,169552,yafitelbaz@yahoo.com,http://ganjewish.com,3,3,1,22KBXQ
KBXS,NYCEEC,K,"Roger Day Care, Inc.",,718-703-4312,775 Rogers Ave,11226,1,26,997465,176822,raps775@gmail.com,,3,8,1,17KBXS
KBXT,NYCEEC,K,"New Generation Learning Center, Inc.",,718-941-0404,2597 Bedford Ave,11226,1,18,997026,172434,day1gen@yahoo.com,,5,9,3,22KBXT
KBXU,NYCEEC,K,Yeled V?yalda,,718-514-8928,1200 Ocean Pkwy,11230,3,12,992520,164995,fbomrind@yeled.org,http://yeled.org,5,9,3,21KBXU
KBXV,NYCEEC,K,Yeled V'Yalda 6012,,718-209-1122,6002 Farragut Rd,11236,3,91,1006863,171572,hthau@yeled.org,,3,3,1,18KBXV
KBYC,NYCEEC,K,YWCA - NYC Roberta Bright ELC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-373-1100,3001 W 37th St,11224,1,16,983635,147991,sramirez@ywcanyc.org,http://ywcanyc.org,3,7,1,21KBYC
KBYF,NYCEEC,K,Edith And Karl Marks JCH Of Bensonhurst,,718-943-6333,7802 Bay Pkwy,11214,1,30,987115,160171,tatyana@jchb.org,http://jchb.org,1,3,1,20KBYF
KBYG,NYCEEC,K,Happy Dragon Children And Family Center,,347-610-1802,5805 7th Ave,11220,1,107,981319,171601,office@happydragonschool.com,,5,9,3,20KBYG
KBYJ,NYCEEC,K,"Al Madinah School, Inc.",,718-222-4986,383 3rd Ave,11215,1,45,987482,184948,almadinahinfo@gmail.com,http://almadinah-school.com,2,2,1,15KBYJ
KBYM,NYCEEC,K,Friends Of Crown Heights 26,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-467-4270,20 Sutter Ave,11212,1,37,1005874,181647,emerita.murrell1@gmail.com,http://fochdaycare.org,3,4,1,23KBYM
KBYN,NYCEEC,K,Bumble Bee R Us - Lorraine Street,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,855-532-9227,76 Lorraine St,11231,1,17,982352,184903,info@bumblebeesrus.com,http://bumblebeesrus.com,3,3,1,15KBYN
KBYQ,NYCEEC,K,Bumble Bees R Us 8,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-676-0080,5721 6th Ave,11220,1,19,980791,172187,info@bumblebeesrus.com,http://bumblebeesrus.com,2,7,1,20KBYQ
KBZG,NYCEEC,K,Ring Around The Rosie,,718-492-7464,7106 13th Ave,11228,1,15,982748,166075,ring7104@verizon.net,,4,7,1,20KBZG
KBZU,NYCEEC,K,Bedford Stuyvesant ECDC 510,,718-455-4806,510 Quincy St,11221,3,45,1000909,189948,lubellmorriss@bsecdc.org,,3,3,1,16KBZU
KBZX,NYCEEC,K,Yeshiva Torah Vodaath Preschool,,718-941-8000,1192 East 31st St,11210,1,36,999445,165995,rye@torahvodaath.org,,5,9,3,22KBZX
KCAD,NYCEEC,K,Higher Level,,718-856-4064,2401 Beverley Rd,11226,1,18,996861,174261,uljoseph@aol.com,,5,9,3,17KCAD
KCAK,NYCEEC,K,Kindstart Preschool,,917-834-4776,7702 New Utrecht Ave,11214,1,20,984073,163035,Sooobad6@aol.com,http://kindstartpreschool.org,5,2,2,20KCAK
KCAP,NYCEEC,K,"Little Stars Daycare Center, Inc.",,718-673-3092,588 Brooklyn Ave,11203,1,18,999360,179703,littlestarsdayschool@gmail.com,http://littlestars-dayschool.com,5,9,3,17KCAP
KCBR,NYCEEC,K,Yde,,718-232-0100,49 Ave T,11223,3,64,989006,157299,adouek@ydeschool.org,http://ydeschool.org,8,3,1,21KCBR
KCDI,NYCEEC,K,Beth Jacob Of Borough Park,,718-436-7300,1371 46 St,11219,1,80,987479,170870,avivahimy@gmail.com,,7,7,2,20KCDI
KCDM,NYCEEC,K,Butterfly DCC,,718-646-6272,2770 East 16th St,11235,1,20,997337,152095,sgontchar@yahoo.com,http://butterflydaycarecenter.com,7,7,1,21KCDM
KCEB,NYCEEC,K,Brooklyn Chinese - American Assoc.,,718-438-0008,871 50th St,11220,2,72,983756,172508,haney@bca.net,http://bca.net,2,6,2,20KCEB
KCEC,NYCEEC,K,Kreative Kare DCC,,718-443-1333,455 Wilson Ave ( Ground Floor ),11221,1,40,1008575,191854,kreativekare@aol.com,,7,8,1,32KCEC
KCED,NYCEEC,K,Sunshine Center Of Coney Island,,718-996-7200,2929 W31st St,11224,4,18,985130,148137,yaneris@sunshinenewyork.com,http://sunshinenewyork.com,3,8,1,21KCED
KCEG,NYCEEC,K,Imagine Dumbo - Adams,,718-522-2263,85 Adams St,11201,1,11,987478,194940,caroline@imagineelc.com,http://imagineelc.com,5,6,1,13KCEG
KCEH,NYCEEC,K,Imagine Brooklyn Heights,,718-624-7520,50 Monroe Pl,11201,1,20,986272,192646,Sally@imagineelc.com,http://imagineelc.com,5,2,1,13KCEH
KCEI,NYCEEC,K,Bambi Day Care II,,718-648-3332,2121 Bragg St,11229,1,80,1002078,158034,info@bambiacademy.com,http://bambidaycare.com,3,3,1,22KCEI
KCFA,NYCEEC,K,SCO Family Of Services,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-6870,225 Newport St,11212,1,35,1010105,179731,coerlemans@sco.org,http://sco.org,3,3,1,23KCFA
KCFR,NYCEEC,K,Bubble Bee Day Care,,718-676-0080,76 Lorraine St,11231,3,20,982331,184909,esther@bumblebeesrus.com,,3,3,1,15KCFR
KCFV,NYCEEC,K,Magic Kingdom LLC,,347-793-0180,5215 Church Ave,11203,2,27,1004246,176982,boydilene@gmail.com,,5,9,3,18KCFV
KCGN,NYCEEC,K,SCO Family Of Services,,718-345-6666,774 Saratoga Ave,11212,1,90,1007553,180354,SAndrews@sco.org,http://sco.org,3,3,2,23KCGN
KCGO,NYCEEC,K,CDC Of Kingsborough,,718-368-5868,1915 Oriental Blvd,11235,1,18,1002181,150120,Linda.McHugh@kbcc.cuny.edu,http://kbcc.cuny.edu,3,7,1,22KCGO
KCGP,NYCEEC,K,Birch Family Services Nazareth ECC,,212-616-1851,475 East 57th St,11203,3,16,1005765,173846,marjory.antoine@birchfamilyservices.org,,5,9,3,18KCGP
KCGR,NYCEEC,K,Brooklyn Chinese American Assoc.,,718-438-0008,4116 8th Ave,11232,1,30,984537,174612,bcaupkfd@gmail.com,http://bca.net,2,6,2,15KCGR
KCGT,NYCEEC,K,Gold Material Montessori School,,718-801-2155,105 Kings Hwy,11214,1,40,987606,160196,maksim@goldmaterial.com,http://goldmaterial.com,5,9,3,21KCGT
KCHJ,NYCEEC,K,"Arista Prep, Inc.",,718-756-5550,221 Kingston Ave,11213,1,54,1000435,184294,aristaprep@gmail.com,http://aristaprepschool.org/,3,2,1,17KCHJ
KCHM,NYCEEC,K,Alonzo A Daughtry Memorial DCC Inc.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-596-1993,565 Baltic St,11217,1,20,989100,187600,alonzodaughtrydcc@verizon.net,,3,3,1,13KCHM
KCHN,NYCEEC,K,Friends Of Crown Heights,,917-966-4400,2805 Newkirk Ave,11226,1,40,998107,172467,cdelicar@aol.com,http://fochdaycare.org,3,6,1,22KCHN
KCHP,NYCEEC,K,Weeksville Gardens,,718-623-9803,1640 Pacific St,11213,1,54,1002387,185783,jmatison@bksny.org,,5,9,3,18KCHP
KCHR,NYCEEC,K,"Apple Tree Day Care, Inc.",,718-287-7488,440 East 48th St,11203,1,40,1002981,176464,tjcole265@aol.com,,3,6,1,18KCHR
KCHT,NYCEEC,K,"Baybee Lounge Daycare, Inc.",,347-955-4783,2745 Atlantic Ave,11207,1,15,1013935,185723,baybeelounge@gmail.com,http://baybeeloungedaycare.com,3,7,1,19KCHT
KCHU,NYCEEC,K,Infinity UPK Of Gerritsen Avenue,,718-336-1981,2934 - 2936 Gerritsen Ave,11229,1,29,1006121,153905,blitblues@aol.com,http://infinitypreschool.org,5,4,2,22KCHU
KCHV,NYCEEC,K,"New York Creative Childcare, Inc.",,718-686-0388,5015 6th Ave,11220,1,36,981943,173649,nycreativechildcare@gmail.com,http://nycreativechildcare.com,3,7,1,15KCHV
KCHX,NYCEEC,K,Dezzenterprise LLC,,917-207-2438,3524 Neptune Ave,11224,1,12,983726,149443,info@dezzenterprise.com,http://dezzenterprise.com,3,4,2,21KCHX
KCHZ,NYCEEC,K,Little Hands Creative Minds,,718-676-2947,4111 Ave J,11210,1,16,1001996,168021,Lhcm718@gmail.com,http://daviduniversecity.org/,3,4,1,22KCHZ
KCIA,NYCEEC,K,Effie Bs ECDC Corp.,,718-735-5500,1171 Eastern Pkwy,11213,1,36,1003783,183072,effieb.center@gmail.com,http://effieskids.com,3,8,1,17KCIA
KCIC,NYCEEC,K,"Little Einstiens Of Canarsie, LLC",,718-251-5000,8413 Ave K,11236,1,100,1010231,170493,nbokhour@aol.com,,5,9,3,18KCIC
KCIE,NYCEEC,K,Bnos Chaya,,718-851-1212,4511 14th Ave,11219,1,20,987664,170821,draizy102@gmail.com,,7,3,1,20KCIE
KCII,NYCEEC,K,Kings Bay Y At North Williamsburg,,718-407-6388,14 Hope St,11211,1,35,996088,199246,swaller@northwilliamsburgy.org,http://northwilliamsburgy.org,5,2,1,14KCII
KCIL,NYCEEC,K,Urban Strategies Child Care,,718-235-6151,1405 Bushwick Ave,11207,1,18,1009275,188871,USHeadStart1@aol.com,http://urbanstrategies.org,3,6,2,32KCIL
KCIM,NYCEEC,K,Brooklyn Explorers Academy,,855-687-6923,110 Schermerhorn St,11201,1,36,987165,190666,info@brooklynexplorersacademy.com,http://brooklynexplorersacademy.com,7,7,1,15KCIM
KCIO,NYCEEC,K,Honeydew Drop Playhouse,,718-941-2177,1113 Church Ave,11218,1,14,992888,175116,Honeydewplayhouse@gmail.com,http://honeydewdrop.com,2,1,1,17KCIO
KCIS,NYCEEC,K,Greater Bright Light Learning Center,,917-960-4044,1320 Sutter Ave,11208,1,20,1020571,184512,gzellars@gblmbc.com,,5,9,3,19KCIS
KCIW,NYCEEC,K,IP Kids Montessori,,718-633-1178,850 50th St,11220,1,87,983551,172516,JLee7818@gmail.com,,3,3,2,20KCIW
KCIX,NYCEEC,K,IP Kids,,718-621-7818,2631 86 St,11223,1,80,988589,156579,James.Lee@gmail.com,http://ipkids.com,3,3,2,21KCIX
KCIY,NYCEEC,K,"Ronomoza, Inc. / The Learning Experience",,718-627-7340,412 Kings Hwy,11223,1,36,991295,159431,brooklyn@tlecorp.com,http://brooklyn.tlechildcare.com/,3,3,1,21KCIY
KCIZ,NYCEEC,K,Al Madinah School Site 2,,718-222-4986,2015 64 St,11204,1,15,988538,164029,almadinahinfo@gmail.com,http://almadinah-school.com,2,2,1,20KCIZ
KCJC,NYCEEC,K,Blue Star DCC,,718-703-0009,2217 Caton Ave,11226,1,36,996273,177158,bluestarofnewyork@gmail.com,,3,6,1,17KCJC
KCJF,NYCEEC,K,Clarkson ECC,,718-649-3488,8801 Glenwood Rd,11236,1,36,1009460,172815,8801cecc@gmail.com,,7,6,2,18KCJF
KCJH,NYCEEC,K,"A Castle For Classy Kids Learning Center, Inc.",,347-750-8154,2570 Pitkin Ave,11208,1,36,1018271,185021,acastle4classykids@gmail.com,,3,7,1,19KCJH
KCJK,NYCEEC,K,Lpbc Day Care,,718-621-5458,7524 14th Ave,11228,1,19,982608,164657,llv9005@msn.com,http://lpbcdaycareupk.webs.com,5,7,1,20KCJK
KCJM,NYCEEC,K,"Circle, Triangle, Square Daycare, Inc.",,718-373-2234,2720 86th St,11223,3,18,989394,155744,shwnisaac@circletrianglesquaredaycare.com,http://circletrianglesquaredaycare.com,3,3,1,21KCJM
KCJN,NYCEEC,K,Stillwell Avenue Prep School,,718-232-3628,6420 Bay Pkwy,11204,1,40,989394,163034,stillwellprep@yahoo.com,,3,7,1,20KCJN
KCJO,NYCEEC,K,Aim High Childrens Services,,718-509-0630,83 Marlborough Rd,11226,1,48,993841,175405,upk@aimhighchild.com,http://aimhighchild.org,5,4,1,17KCJO
KCJQ,NYCEEC,K,Initial Steps CDC,,718-434-2805,3003 Glenwood Rd,11210,1,20,998809,170336,initialstepscdc@yahoo.com,,3,7,1,22KCJQ
KCJR,NYCEEC,K,A To Z DCC,,718-368-1234,3053 Ave U,11229,1,29,1001782,158293,jaynelipkovich@gmail.com,http://a2zdaycare.com,3,7,1,22KCJR
KCJS,NYCEEC,K,Yeshiva Torah Vodaath,,718-941-8000,452 East 9 St,11218,1,40,992643,171495,preschoolytv@gmail.com,,7,3,1,22KCJS
KCJT,NYCEEC,K,Kaleidoscope Early Childhood Develepment Center,,917-652-4422,480 Stratford Rd,11218,1,43,993255,171230,ecdckaleidoscope@aol.com,http://ecdckaleidoscope.com,2,7,1,22KCJT
KCJX,NYCEEC,K,Mohdc - Smart Start,,718-915-3015,533 Blake Ave,11207,1,108,1012214,182425,rayed@mohdc.com,,5,9,3,19KCJX
KCJY,NYCEEC,K,Angel ECDC,,718-259-0888,1436 67th St 1st Floor,11219,1,32,984335,166178,angeldaycare67@gmail.com,,7,7,1,20KCJY
KCJZ,NYCEEC,K,COPO Prek Program,,718-434-3266,1083 Coney Is Ave,11230,1,18,993635,169229,fhaq@copousa.org,http://copousa.org,3,7,2,22KCJZ
KCKB,NYCEEC,K,Bushwick United Development Fund,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-443-0685,243 South 2nd St,11211,1,19,995969,198682,jendale319@aol.com,http://bushwickunited.org,3,8,1,14KCKB
KCKC,NYCEEC,K,Alpha Christian Academy,,718-272-0505,921 East 107th St,11236,1,20,1014150,175485,alphachristiandaycare921@gmail.com,http://alphachristianacademy.com,3,6,1,18KCKC
KCKG,NYCEEC,K,Rockgate DCC 1,,718-348-7414,770 - 784 Glenmore Ave,11208,1,25,1017056,185285,jrockgate@gmail.com,,3,6,1,19KCKG
KCKK,NYCEEC,K,992 Gates Avenue,,718-483-9553,992 Gates Ave,11221,3,42,1005406,190355,adaptivesolutions1@gmail.com,,5,9,3,17KCKK
KCKU,NYCEEC,K,Promise World Daycare,,718-743-2828,1968 Ocean Ave,11230,1,28,996885,162953,yelena011@gmail.com,,5,9,3,22KCKU
KCKV,NYCEEC,K,Little Nest Preschool,,718-484-0033,511 Church Ave,11218,1,18,991088,174161,info@littlenestpreschool.com,http://littlenestpreschool.com,5,6,1,15KCKV
KCKY,NYCEEC,K,Queen Of The Rosary Catholic Academy,,718-388-7992,11 Catherine St,11211,1,36,1001486,199184,marian_hernandez@verizon.net,http://queenoftherosarybrooklyn.org,5,9,3,14KCKY
KCKZ,NYCEEC,K,"A2z Kidz Center, LLC",,718-758-7729,190 Exeter St,11235,1,40,998531,149742,jaynelipkovich@gmail.com,http://a2zdaycare.com,5,9,3,22KCKZ
KCLC,NYCEEC,K,Sunny Skies Preschool,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,917-337-8003,720 Washington Ave,11238,1,58,994321,185652,paola@sunnyskiespreschool.com,http://sunnyskiespreshool.com,5,9,3,13KCLC
KCLD,NYCEEC,K,Sunny Skies Prospect Corp.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-372-4665,969 43rd St,11219,1,18,985524,173420,info@sunnyskiespreschool.com,,5,9,3,15KCLD
KCLE,NYCEEC,K,"Faces Of The Future ELC, LLC",,718-618-0061,1080 Utica Ave,11203,1,40,1003647,174842,upk21080@gmail.com,,5,9,3,18KCLE
KCLF,NYCEEC,K,"Ira's Daycare And Preschool Inc., III",,718-739-6500,900 Lenox Rd,11203,1,54,1004738,178086,rogersdorinda@gmail.com,,5,9,3,18KCLF
KCLH,NYCEEC,K,Neshama Preschool,,917-804-8284,723 Ave Z,11223,1,20,993304,153043,neshama1inc@gmail.com,,5,9,3,21KCLH
KCLI,NYCEEC,K,"Yeshivat Beth Hillel Of Krasna, Inc.",,212-929-0839,1360 42 St,11219,1,36,987964,171682,duvivogel@gmail.com,,5,9,3,20KCLI
KCLM,NYCEEC,K,Trey Whitfield School,,718-342-7722,17 Hinsdale St,11207,1,54,1011694,185198,jwhitney@treywhitfieldschool.org,,5,9,3,19KCLM
KCMA,NYCEEC,K,Seeds Of Unity,,347-715-6545,5816 13th Ave,11219,1,20,984827,168692,seedsofunity@gmail.com,,5,9,3,20KCMA
KCME,NYCEEC,K,Bka Utica,,718-953-9011,250 Utica Ave,11213,1,20,1003343,183392,office@brooklynkidsny.org,,5,9,3,17KCME
KCMK,NYCEEC,K,"Brooklyn Treehouse Preeschool, Inc.",,718-499-1234,639 4th Ave,11232,1,30,985804,181024,warmen@optonline.net,http://brooklyntreehousepreschool.com,5,9,3,15KCMK
KCML,NYCEEC,K,Bryan's Educational Center,,718-282-6944,3922 Church Ave,11203,1,36,1000837,176492,bryansdaycare@aol.com,http://bryanseducationalcenter.com,5,9,3,18KCML
KCMN,NYCEEC,K,ECDC Kaleidoscope,,917-652-4422,165 Prospect Park Southwest,11218,1,12,991634,177650,ecdckaleidoscope@aol.com,http://ecdckaleidoscope.com,5,9,3,15KCMN
